numSell,exposure,drawdown,winLoss,value,fast,slow,sig
43,0.5015898251192369,-0.26772349999053185,2.5833333333333335,14668.639253000005,11,24,7
44,0.5131160572337043,-0.2695304495260109,2.3846153846153846,14750.619849999997,12,24,7
43,0.505564387917329,-0.21062635554161255,2.909090909090909,17940.838731,13,24,7
42,0.5075516693163752,-0.26491425232792865,2.230769230769231,16425.468758000003,11,26,7
42,0.5115262321144675,-0.18761063568790776,2.8181818181818183,18479.14985000001,12,26,7
43,0.5051669316375199,-0.21914417797671074,2.909090909090909,19421.893970999998,13,26,7
40,0.49761526232114467,-0.26767248823642353,3.0,15970.379876999996,11,28,7
40,0.5051669316375199,-0.2669977953860863,3.0,14956.080060999997,12,28,7
40,0.5135135135135135,-0.2672466489381609,3.4444444444444446,16186.745675999991,13,28,7
39,0.48608903020667726,-0.2677577899181818,2.9,14770.81914299999,11,30,7
39,0.4956279809220986,-0.26806436844017895,3.3333333333333335,14910.884609,12,30,7
39,0.5047694753577107,-0.2683454181793053,3.875,14998.201000999994,13,30,7
43,0.49920508744038156,-0.20600968336839737,2.909090909090909,15664.738573000008,11,24,9
43,0.4972178060413355,-0.2168157670375414,2.5833333333333335,16308.968929000022,12,24,9
43,0.5091414944356121,-0.2095229028157574,2.0714285714285716,16626.800221000005,13,24,9
41,0.49205087440381556,-0.20465885790394164,2.727272727272727,15534.839262000012,11,26,9
41,0.4984101748807631,-0.18960803211399593,2.4166666666666665,18441.695026000005,12,26,9
41,0.5031796502384738,-0.2057635864093322,3.1,19114.116088999996,13,26,9
39,0.4940381558028617,-0.26569977280169144,2.9,15016.529601999991,11,28,9
39,0.49880763116057236,-0.21584185272236123,4.571428571428571,18876.830992,12,28,9
39,0.5027821939586645,-0.23073911016786403,4.571428571428571,18449.226088999978,13,28,9
38,0.4785373608903021,-0.2681203606566608,2.8,13776.654695999992,11,30,9
37,0.4888712241653418,-0.18734236181870512,4.285714285714286,18270.835056000007,12,30,9
36,0.5011923688394276,-0.2010523797856266,5.0,18905.906064000006,13,30,9
40,0.4996025437201908,-0.2038290661155171,2.6363636363636362,17356.190036,11,24,11
41,0.5007949125596184,-0.20217406205988514,3.1,17682.815377,12,24,11
42,0.5095389507154213,-0.1722611080162484,2.8181818181818183,19471.781704999994,13,24,11
38,0.4956279809220986,-0.2117060043686947,3.75,15535.760118999993,11,26,11
38,0.4968203497615262,-0.19092479301326543,4.428571428571429,18405.530109000003,12,26,11
39,0.5031796502384738,-0.2371191666757926,3.875,17837.451642999982,13,26,11
37,0.4996025437201908,-0.20211915061035302,3.111111111111111,15273.395272999998,11,28,11
37,0.49205087440381556,-0.19772951599747965,5.166666666666667,18766.73065400001,12,28,11
37,0.492845786963434,-0.20100499047841694,4.285714285714286,19156.812087999984,13,28,11
34,0.47297297297297297,-0.20406683477617277,3.857142857142857,16035.360158000003,11,30,11
34,0.4797297297297297,-0.18558324606331583,4.666666666666667,18828.505855999992,12,30,11
34,0.47774244833068363,-0.16811176325075514,4.666666666666667,20764.415710999994,13,30,11
38,0.4972178060413355,-0.2095200458999084,3.2222222222222223,14540.450665,11,24,13
39,0.4956279809220986,-0.21834942108047992,4.571428571428571,16174.371069000006,12,24,13
39,0.5023847376788553,-0.2112474153237966,4.571428571428571,19646.05178000001,13,24,13
38,0.4864864864864865,-0.2378495810286341,3.75,14551.700713000002,11,26,13
37,0.4904610492845787,-0.20084069818141745,4.285714285714286,17790.605833000005,12,26,13
37,0.4904610492845787,-0.18671303641115483,4.285714285714286,21408.635788999993,13,26,13
34,0.46462639109697934,-0.20338873694463738,3.25,15515.071204999995,11,28,13
34,0.4785373608903021,-0.16972183833077648,3.857142857142857,18601.401105,12,28,13
34,0.47655007949125594,-0.16743893655065734,4.666666666666667,20730.751296,13,28,13
32,0.4566772655007949,-0.2051343294532071,3.5714285714285716,16942.950775999994,11,30,13
32,0.4666136724960254,-0.16587124720681876,3.5714285714285716,19841.520436000006,12,30,13
32,0.47178060413354533,-0.16559258768614565,4.333333333333333,20325.300615999986,13,30,13
