,avgType,avgType2,fast,slow,sig,delay,window,stdev,numSell,exposure,drawdown,winLoss,value,zzz
0,simple,simple,9,13,7,3,6,1.0,79,0.44721878862793574,-0.2953129756193789,2.2916666666666665,15396.73999999999,simple-9-13-7-3-6-1.0
1,simple,simple,9,13,7,3,6,1.2,80,0.46205191594561185,-0.3132918507717941,2.3333333333333335,16465.369999999984,simple-9-13-7-3-6-1.2
2,simple,simple,9,13,7,3,6,1.4,84,0.49740420271940666,-0.268798895158944,2.111111111111111,17265.679999999993,simple-9-13-7-3-6-1.4
3,simple,simple,9,13,7,3,6,1.6,83,0.5087762669962917,-0.2615967421670935,2.1923076923076925,17164.949999999993,simple-9-13-7-3-6-1.6
4,simple,simple,9,13,7,3,6,1.8,83,0.515451174289246,-0.26963802801245784,2.1923076923076925,16894.48999999999,simple-9-13-7-3-6-1.8
5,simple,simple,9,13,7,3,6,2.0,85,0.5233621755253399,-0.23636372927433386,2.1481481481481484,17106.059999999998,simple-9-13-7-3-6-2.0
6,simple,simple,9,13,7,3,9,1.0,78,0.4529048207663782,-0.3203795432943721,2.12,16022.659999999983,simple-9-13-7-3-9-1.0
7,simple,simple,9,13,7,3,9,1.2,78,0.4781211372064277,-0.25660490264090213,2.25,17826.989999999998,simple-9-13-7-3-9-1.2
8,simple,simple,9,13,7,3,9,1.4,79,0.4949320148331273,-0.2696891242641981,2.2916666666666665,16512.859999999993,simple-9-13-7-3-9-1.4
9,simple,simple,9,13,7,3,9,1.6,82,0.5058096415327565,-0.25749820295226894,2.1538461538461537,16642.609999999993,simple-9-13-7-3-9-1.6
10,simple,simple,9,13,7,3,9,1.8,80,0.5208899876390606,-0.31258665858137175,2.4782608695652173,16395.809999999998,simple-9-13-7-3-9-1.8
11,simple,simple,9,13,7,3,9,2.0,82,0.5248454882571075,-0.34388935636734086,2.4166666666666665,15629.669999999991,simple-9-13-7-3-9-2.0
12,simple,simple,9,13,7,3,12,1.0,79,0.4687268232385661,-0.3051966191655567,2.2916666666666665,16027.199999999999,simple-9-13-7-3-12-1.0
13,simple,simple,9,13,7,3,12,1.2,78,0.488504326328801,-0.24483966246163225,2.391304347826087,18110.889999999985,simple-9-13-7-3-12-1.2
14,simple,simple,9,13,7,3,12,1.4,79,0.4927070457354759,-0.25749820295226894,2.4347826086956523,18218.159999999996,simple-9-13-7-3-12-1.4
15,simple,simple,9,13,7,3,12,1.6,80,0.5159456118665019,-0.32285963950030194,2.3333333333333335,14967.749999999995,simple-9-13-7-3-12-1.6
16,simple,simple,9,13,7,3,12,1.8,81,0.523114956736712,-0.31258665858137175,2.5217391304347827,16617.91999999999,simple-9-13-7-3-12-1.8
17,simple,simple,9,13,7,3,12,2.0,84,0.5300370828182942,-0.4420720386186413,2.5,13384.079999999998,simple-9-13-7-3-12-2.0
18,simple,simple,9,13,7,3,15,1.0,76,0.47367119901112487,-0.2438176447943535,2.4545454545454546,18033.049999999985,simple-9-13-7-3-15-1.0
19,simple,simple,9,13,7,3,15,1.2,77,0.4894932014833127,-0.25749820295226894,2.5,19618.379999999986,simple-9-13-7-3-15-1.2
20,simple,simple,9,13,7,3,15,1.4,78,0.5048207663782448,-0.28766475776477957,2.391304347826087,16415.16999999999,simple-9-13-7-3-15-1.4
21,simple,simple,9,13,7,3,15,1.6,80,0.5169344870210136,-0.32285963950030194,2.4782608695652173,15642.449999999986,simple-9-13-7-3-15-1.6
22,simple,simple,9,13,7,3,15,1.8,85,0.5255871446229914,-0.28040758064571114,2.269230769230769,16498.269999999993,simple-9-13-7-3-15-1.8
23,simple,simple,9,13,7,3,15,2.0,85,0.5431396786155748,-0.32706524220115407,2.4,15927.209999999985,simple-9-13-7-3-15-2.0
24,simple,simple,9,13,7,4,6,1.0,46,0.5443757725587145,-0.28346051690717605,2.5384615384615383,16602.889999999992,simple-9-13-7-4-6-1.0
25,simple,simple,9,13,7,4,6,1.2,45,0.5582200247218788,-0.29400868519836126,3.090909090909091,18599.439999999995,simple-9-13-7-4-6-1.2
26,simple,simple,9,13,7,4,6,1.4,47,0.5814585908529049,-0.24236978336073015,2.9166666666666665,19582.93,simple-9-13-7-4-6-1.4
27,simple,simple,9,13,7,4,6,1.6,45,0.5888751545117429,-0.2506440295394884,3.090909090909091,19129.919999999995,simple-9-13-7-4-6-1.6
28,simple,simple,9,13,7,4,6,1.8,46,0.6004944375772558,-0.26414411541009364,3.1818181818181817,19804.229999999996,simple-9-13-7-4-6-1.8
29,simple,simple,9,13,7,4,6,2.0,46,0.6101359703337453,-0.24226551191147963,3.1818181818181817,21966.300000000003,simple-9-13-7-4-6-2.0
30,simple,simple,9,13,7,4,9,1.0,43,0.546353522867738,-0.28412129836355177,2.5833333333333335,16849.04,simple-9-13-7-4-9-1.0
31,simple,simple,9,13,7,4,9,1.2,43,0.5599505562422744,-0.23388348936080755,3.3,18705.31,simple-9-13-7-4-9-1.2
32,simple,simple,9,13,7,4,9,1.4,43,0.5770086526576019,-0.2506440295394884,3.3,18775.009999999995,simple-9-13-7-4-9-1.4
33,simple,simple,9,13,7,4,9,1.6,45,0.5896168108776267,-0.26414411541009364,3.090909090909091,20278.72,simple-9-13-7-4-9-1.6
34,simple,simple,9,13,7,4,9,1.8,42,0.6059332509270705,-0.31851860938688403,3.2,18898.910000000003,simple-9-13-7-4-9-1.8
35,simple,simple,9,13,7,4,9,2.0,44,0.6084054388133499,-0.3849202454847835,3.0,16966.4,simple-9-13-7-4-9-2.0
36,simple,simple,9,13,7,4,12,1.0,43,0.557725587144623,-0.29400868519836126,3.3,16856.139999999985,simple-9-13-7-4-12-1.0
37,simple,simple,9,13,7,4,12,1.2,42,0.5698393077873919,-0.2506440295394884,3.2,18968.879999999997,simple-9-13-7-4-12-1.2
38,simple,simple,9,13,7,4,12,1.4,43,0.5715698393077874,-0.26414411541009364,3.3,19129.860000000008,simple-9-13-7-4-12-1.4
39,simple,simple,9,13,7,4,12,1.6,42,0.6061804697156984,-0.32852516359226547,3.2,18268.81,simple-9-13-7-4-12-1.6
40,simple,simple,9,13,7,4,12,1.8,43,0.6071693448702101,-0.31851860938688403,3.3,19175.98,simple-9-13-7-4-12-1.8
41,simple,simple,9,13,7,4,12,2.0,45,0.6131025957972805,-0.476623042062577,3.090909090909091,14435.980000000003,simple-9-13-7-4-12-2.0
42,simple,simple,9,13,7,4,15,1.0,41,0.5545117428924599,-0.24959255274032396,2.727272727272727,18051.339999999986,simple-9-13-7-4-15-1.0
43,simple,simple,9,13,7,4,15,1.2,41,0.5651421508034611,-0.26414411541009364,3.1,19040.73,simple-9-13-7-4-15-1.2
44,simple,simple,9,13,7,4,15,1.4,42,0.5955500618046972,-0.294014818813023,3.2,18590.44,simple-9-13-7-4-15-1.4
45,simple,simple,9,13,7,4,15,1.6,43,0.6081582200247219,-0.32852516359226547,3.3,18870.730000000003,simple-9-13-7-4-15-1.6
46,simple,simple,9,13,7,4,15,1.8,46,0.6133498145859085,-0.32532254050814374,3.1818181818181817,18763.330000000005,simple-9-13-7-4-15-1.8
47,simple,simple,9,13,7,4,15,2.0,45,0.6393077873918418,-0.40786346924255135,2.75,16946.939999999988,simple-9-13-7-4-15-2.0
48,simple,simple,9,13,9,1,6,1.0,98,0.4820766378244747,-0.40881138895732944,2.161290322580645,16108.669999999982,simple-9-13-9-1-6-1.0
49,simple,simple,9,13,9,1,6,1.2,102,0.503831891223733,-0.45718284196050357,2.090909090909091,14792.505000000005,simple-9-13-9-1-6-1.2
50,simple,simple,9,13,9,1,6,1.4,103,0.522867737948084,-0.40586495127840067,1.9428571428571428,15474.994999999988,simple-9-13-9-1-6-1.4
51,simple,simple,9,13,9,1,6,1.6,104,0.5357231149567367,-0.45019848898957693,2.1515151515151514,14636.644999999984,simple-9-13-9-1-6-1.6
52,simple,simple,9,13,9,1,6,1.8,109,0.5510506798516688,-0.46674789819905027,2.2058823529411766,14614.584999999997,simple-9-13-9-1-6-1.8
53,simple,simple,9,13,9,1,6,2.0,113,0.5606922126081583,-0.46851628614283575,2.138888888888889,15624.750000000007,simple-9-13-9-1-6-2.0
54,simple,simple,9,13,9,1,9,1.0,93,0.48009888751545116,-0.43261939649647896,2.206896551724138,15896.65999999999,simple-9-13-9-1-9-1.0
55,simple,simple,9,13,9,1,9,1.2,94,0.49814585908529047,-0.3641103848192297,2.4814814814814814,17727.66000000001,simple-9-13-9-1-9-1.2
56,simple,simple,9,13,9,1,9,1.4,95,0.5132262051915946,-0.3978180067271486,2.392857142857143,15881.389999999996,simple-9-13-9-1-9-1.4
57,simple,simple,9,13,9,1,9,1.6,100,0.5255871446229914,-0.43889968511956107,2.125,15892.77,simple-9-13-9-1-9-1.6
58,simple,simple,9,13,9,1,9,1.8,97,0.5367119901112485,-0.5177661501796103,2.3448275862068964,13598.979999999996,simple-9-13-9-1-9-1.8
59,simple,simple,9,13,9,1,9,2.0,98,0.5416563658838072,-0.4286253684863225,2.5,15788.514999999998,simple-9-13-9-1-9-2.0
60,simple,simple,9,13,9,1,12,1.0,93,0.4892459826946848,-0.4293346288810144,2.4444444444444446,16172.209999999995,simple-9-13-9-1-12-1.0
61,simple,simple,9,13,9,1,12,1.2,91,0.5028430160692212,-0.36676556475833205,2.64,18033.39,simple-9-13-9-1-12-1.2
62,simple,simple,9,13,9,1,12,1.4,97,0.5105067985166872,-0.3781951358073446,2.5925925925925926,19086.115,simple-9-13-9-1-12-1.4
63,simple,simple,9,13,9,1,12,1.6,95,0.5339925834363412,-0.43255184788746076,2.2758620689655173,15287.049999999997,simple-9-13-9-1-12-1.6
64,simple,simple,9,13,9,1,12,1.8,98,0.5389369592088998,-0.46709689934564474,2.3793103448275863,14984.130000000005,simple-9-13-9-1-12-1.8
65,simple,simple,9,13,9,1,12,2.0,102,0.5490729295426452,-0.5143081810025599,2.5172413793103448,13584.980000000001,simple-9-13-9-1-12-2.0
66,simple,simple,9,13,9,1,15,1.0,93,0.4919653893695921,-0.36302267901247404,2.3214285714285716,16231.349999999995,simple-9-13-9-1-15-1.0
67,simple,simple,9,13,9,1,15,1.2,92,0.507540173053152,-0.3781951358073446,2.4074074074074074,17324.980000000007,simple-9-13-9-1-15-1.2
68,simple,simple,9,13,9,1,15,1.4,95,0.5236093943139679,-0.4308856488650104,2.2758620689655173,15412.224999999997,simple-9-13-9-1-15-1.4
69,simple,simple,9,13,9,1,15,1.6,97,0.5305315203955501,-0.4503405142700769,2.3448275862068964,14527.169999999995,simple-9-13-9-1-15-1.6
70,simple,simple,9,13,9,1,15,1.8,100,0.5466007416563659,-0.41533821068930776,2.4482758620689653,16161.004999999992,simple-9-13-9-1-15-1.8
71,simple,simple,9,13,9,1,15,2.0,101,0.5592088998763906,-0.454680079395596,2.4827586206896552,15461.904999999992,simple-9-13-9-1-15-2.0
72,simple,simple,9,13,9,2,6,1.0,91,0.4642768850432633,-0.3980725968955,2.3703703703703702,14795.200000000003,simple-9-13-9-2-6-1.0
73,simple,simple,9,13,9,2,6,1.2,95,0.4880098887515451,-0.4102670131319889,2.5185185185185186,15411.689999999999,simple-9-13-9-2-6-1.2
74,simple,simple,9,13,9,2,6,1.4,93,0.5045735475896168,-0.34610456241736176,2.3214285714285716,15944.75,simple-9-13-9-2-6-1.4
75,simple,simple,9,13,9,2,6,1.6,91,0.5112484548825711,-0.42139185125814926,2.5,14392.370000000004,simple-9-13-9-2-6-1.6
76,simple,simple,9,13,9,2,6,1.8,96,0.5273176761433869,-0.49104227183233556,2.4285714285714284,13418.220000000007,simple-9-13-9-2-6-1.8
77,simple,simple,9,13,9,2,6,2.0,99,0.5379480840543881,-0.4772381132274542,2.413793103448276,14179.619999999997,simple-9-13-9-2-6-2.0
78,simple,simple,9,13,9,2,9,1.0,88,0.4657601977750309,-0.4231964999515018,2.52,14939.080000000005,simple-9-13-9-2-9-1.0
79,simple,simple,9,13,9,2,9,1.2,90,0.4880098887515451,-0.33875493704575366,2.75,17075.99000000001,simple-9-13-9-2-9-1.2
80,simple,simple,9,13,9,2,9,1.4,89,0.499876390605686,-0.3512019930264499,2.7083333333333335,15885.539999999994,simple-9-13-9-2-9-1.4
81,simple,simple,9,13,9,2,9,1.6,92,0.5129789864029666,-0.36259059404508515,2.5384615384615383,16202.689999999991,simple-9-13-9-2-9-1.6
82,simple,simple,9,13,9,2,9,1.8,88,0.5221260815822002,-0.4093242735034012,2.8260869565217392,14921.12000000001,simple-9-13-9-2-9-1.8
83,simple,simple,9,13,9,2,9,2.0,91,0.5263288009888751,-0.43769750310134137,2.64,13921.970000000012,simple-9-13-9-2-9-2.0
84,simple,simple,9,13,9,2,12,1.0,88,0.4781211372064277,-0.41003558246504324,2.8260869565217392,15452.540000000015,simple-9-13-9-2-12-1.0
85,simple,simple,9,13,9,2,12,1.2,87,0.49295426452410385,-0.3512019930264499,2.9545454545454546,17175.520000000004,simple-9-13-9-2-12-1.2
86,simple,simple,9,13,9,2,12,1.4,89,0.49715698393077873,-0.36259059404508515,3.0454545454545454,17647.300000000003,simple-9-13-9-2-12-1.4
87,simple,simple,9,13,9,2,12,1.6,90,0.5223733003708282,-0.4191787955054807,2.6,14119.73,simple-9-13-9-2-12-1.6
88,simple,simple,9,13,9,2,12,1.8,89,0.5241038318912238,-0.4093242735034012,2.869565217391304,15159.150000000007,simple-9-13-9-2-12-1.8
89,simple,simple,9,13,9,2,12,2.0,92,0.5312731767614338,-0.5208721532751697,2.68,12037.860000000002,simple-9-13-9-2-12-2.0
90,simple,simple,9,13,9,2,15,1.0,88,0.4754017305315204,-0.33792621105455817,2.6666666666666665,16385.250000000007,simple-9-13-9-2-15-1.0
91,simple,simple,9,13,9,2,15,1.2,88,0.4932014833127318,-0.36259059404508515,2.6666666666666665,16867.509999999995,simple-9-13-9-2-15-1.2
92,simple,simple,9,13,9,2,15,1.4,88,0.5035846724351051,-0.388971137532779,2.8260869565217392,15634.779999999999,simple-9-13-9-2-15-1.4
93,simple,simple,9,13,9,2,15,1.6,89,0.5129789864029666,-0.4191787955054807,2.7083333333333335,14288.429999999998,simple-9-13-9-2-15-1.6
94,simple,simple,9,13,9,2,15,1.8,94,0.5322620519159457,-0.38215669557848353,2.4814814814814814,15526.479999999996,simple-9-13-9-2-15-1.8
95,simple,simple,9,13,9,2,15,2.0,94,0.5451174289245982,-0.4225626181615215,2.6153846153846154,15215.710000000003,simple-9-13-9-2-15-2.0
96,simple,simple,9,13,9,3,6,1.0,78,0.4284301606922126,-0.3799117385952804,2.0,13956.599999999982,simple-9-13-9-3-6-1.0
97,simple,simple,9,13,9,3,6,1.2,83,0.4580964153275649,-0.3846155825552923,2.1923076923076925,15400.989999999987,simple-9-13-9-3-6-1.2
98,simple,simple,9,13,9,3,6,1.4,82,0.48009888751545116,-0.3154285910340483,2.037037037037037,15937.239999999987,simple-9-13-9-3-6-1.4
99,simple,simple,9,13,9,3,6,1.6,79,0.4877626699629172,-0.3138572120889822,2.2916666666666665,16304.549999999977,simple-9-13-9-3-6-1.6
100,simple,simple,9,13,9,3,6,1.8,80,0.49592088998763906,-0.3260619888408081,2.2,16086.779999999986,simple-9-13-9-3-6-1.8
101,simple,simple,9,13,9,3,6,2.0,83,0.5063040791100124,-0.306160714668634,2.1923076923076925,16821.089999999986,simple-9-13-9-3-6-2.0
102,simple,simple,9,13,9,3,9,1.0,78,0.4415327564894932,-0.3914449052412182,1.8888888888888888,14581.289999999985,simple-9-13-9-3-9-1.0
103,simple,simple,9,13,9,3,9,1.2,79,0.46526576019777505,-0.30806918527604243,2.2916666666666665,16978.94999999999,simple-9-13-9-3-9-1.2
104,simple,simple,9,13,9,3,9,1.4,77,0.48009888751545116,-0.3138572120889822,2.347826086956522,15817.349999999991,simple-9-13-9-3-9-1.4
105,simple,simple,9,13,9,3,9,1.6,80,0.4932014833127318,-0.3260619888408081,2.2,16215.359999999982,simple-9-13-9-3-9-1.6
106,simple,simple,9,13,9,3,9,1.8,77,0.5023485784919653,-0.3747421420331005,2.5,15458.169999999991,simple-9-13-9-3-9-1.8
107,simple,simple,9,13,9,3,9,2.0,79,0.5053152039555007,-0.43624121352998474,2.4347826086956523,14160.129999999992,simple-9-13-9-3-9-2.0
108,simple,simple,9,13,9,3,12,1.0,78,0.45389369592088996,-0.37746975395739635,2.25,15061.819999999989,simple-9-13-9-3-12-1.0
109,simple,simple,9,13,9,3,12,1.2,76,0.47292954264524106,-0.3138572120889822,2.4545454545454546,17370.709999999985,simple-9-13-9-3-12-1.2
110,simple,simple,9,13,9,3,12,1.4,77,0.47713226205191595,-0.3260619888408081,2.5,17499.13999999999,simple-9-13-9-3-12-1.4
111,simple,simple,9,13,9,3,12,1.6,77,0.5023485784919653,-0.385038448177518,2.5,14805.64999999998,simple-9-13-9-3-12-1.6
112,simple,simple,9,13,9,3,12,1.8,78,0.5043263288009888,-0.3747421420331005,2.5454545454545454,15880.239999999989,simple-9-13-9-3-12-1.8
113,simple,simple,9,13,9,3,12,2.0,81,0.5105067985166872,-0.5202705310694729,2.5217391304347827,12193.3,simple-9-13-9-3-12-2.0
114,simple,simple,9,13,9,3,15,1.0,76,0.4551297898640297,-0.32140703603792947,2.3043478260869565,16470.069999999978,simple-9-13-9-3-15-1.0
115,simple,simple,9,13,9,3,15,1.2,76,0.47342398022249693,-0.3260619888408081,2.4545454545454546,17364.629999999986,simple-9-13-9-3-15-1.2
116,simple,simple,9,13,9,3,15,1.4,75,0.48405438813349816,-0.3527762886465298,2.5714285714285716,16057.38999999999,simple-9-13-9-3-15-1.4
117,simple,simple,9,13,9,3,15,1.6,77,0.4932014833127318,-0.385038448177518,2.5,14973.769999999982,simple-9-13-9-3-15-1.6
118,simple,simple,9,13,9,3,15,1.8,82,0.5107540173053152,-0.38043581749016836,2.5652173913043477,15544.509999999971,simple-9-13-9-3-15-1.8
119,simple,simple,9,13,9,3,15,2.0,82,0.5243510506798517,-0.42122047767518284,2.28,14625.169999999984,simple-9-13-9-3-15-2.0
120,simple,simple,9,13,9,4,6,1.0,46,0.46279357231149565,-0.40812818478373797,1.5555555555555556,9965.530000000002,simple-9-13-9-4-6-1.0
121,simple,simple,9,13,9,4,6,1.2,50,0.488504326328801,-0.4117648767817904,1.7777777777777777,11300.150000000001,simple-9-13-9-4-6-1.2
122,simple,simple,9,13,9,4,6,1.4,50,0.5028430160692212,-0.3682988265531924,1.7777777777777777,11746.309999999992,simple-9-13-9-4-6-1.4
123,simple,simple,9,13,9,4,6,1.6,48,0.5105067985166872,-0.3655504217997498,1.8235294117647058,11614.939999999999,simple-9-13-9-4-6-1.6
124,simple,simple,9,13,9,4,6,1.8,49,0.5159456118665019,-0.37772649402139624,1.7222222222222223,11388.210000000006,simple-9-13-9-4-6-1.8
0,simple,simple,9,13,9,4,6,2.0,50,0.5223733003708282,-0.39921983267463923,1.631578947368421,11382.250000000002,simple-9-13-9-4-6-2.0
1,simple,simple,9,13,9,4,9,1.0,45,0.4684796044499382,-0.40361553710588527,1.5,10281.099999999997,simple-9-13-9-4-9-1.0
2,simple,simple,9,13,9,4,9,1.2,47,0.4857849196538937,-0.36094747331732824,1.6111111111111112,10634.370000000008,simple-9-13-9-4-9-1.2
