,avgType,fast,slow,sig,delay,window,stdev,numSell,exposure,drawdown,winLoss,value,zzz
0,exponential,9,16,3,2,6,1.8,124,0.4568603213844252,-0.2526150839765927,2.875,22259.44999999998,exponential-9-16-3-2-6-1.8
1,exponential,9,16,3,2,6,2.0,127,0.4707045735475896,-0.2526150839765927,2.735294117647059,22629.489999999987,exponential-9-16-3-2-6-2.0
2,exponential,9,16,3,2,9,1.0,110,0.3987639060568603,-0.29929557751523284,2.3333333333333335,12734.580000000004,exponential-9-16-3-2-9-1.0
3,exponential,9,16,3,2,9,1.2,111,0.4274412855377009,-0.29355267060415857,2.9642857142857144,20268.12,exponential-9-16-3-2-9-1.2
4,exponential,9,16,3,2,9,1.4,116,0.4373300370828183,-0.3030935523653708,2.8666666666666667,19690.360000000004,exponential-9-16-3-2-9-1.4
5,exponential,9,16,3,2,9,1.6,118,0.44425216316440047,-0.2526150839765927,2.933333333333333,22347.89999999999,exponential-9-16-3-2-9-1.6
6,exponential,9,16,3,2,9,1.8,121,0.4618046971569839,-0.25288442293248037,3.033333333333333,22723.51999999999,exponential-9-16-3-2-9-1.8
7,exponential,9,16,3,2,9,2.0,125,0.47268232385661313,-0.25288442293248037,2.787878787878788,23697.729999999985,exponential-9-16-3-2-9-2.0
8,exponential,9,16,3,2,12,1.0,106,0.39950556242274415,-0.3082136639608456,2.533333333333333,14167.960000000003,exponential-9-16-3-2-12-1.0
9,exponential,9,16,3,2,12,1.2,113,0.4259579728059332,-0.2942697072191952,3.0357142857142856,20733.87000000002,exponential-9-16-3-2-12-1.2
10,exponential,9,16,3,2,12,1.4,114,0.4388133498145859,-0.3030935523653708,3.2222222222222223,21733.50000000001,exponential-9-16-3-2-12-1.4
11,exponential,9,16,3,2,12,1.6,118,0.4484548825710754,-0.25288442293248037,3.0689655172413794,22905.969999999994,exponential-9-16-3-2-12-1.6
12,exponential,9,16,3,2,12,1.8,118,0.4608158220024722,-0.25288442293248037,3.0689655172413794,22432.47000000001,exponential-9-16-3-2-12-1.8
13,exponential,9,16,3,2,12,2.0,123,0.4766378244746601,-0.266750026722565,3.1,26001.17,exponential-9-16-3-2-12-2.0
14,exponential,9,16,3,2,15,1.0,106,0.4064276885043263,-0.2938475265423324,2.7857142857142856,16116.059999999996,exponential-9-16-3-2-15-1.0
15,exponential,9,16,3,2,15,1.2,110,0.4215080346106304,-0.3030935523653708,2.9285714285714284,18781.979999999996,exponential-9-16-3-2-15-1.2
16,exponential,9,16,3,2,15,1.4,114,0.43683559950556244,-0.2526150839765927,3.2222222222222223,23965.81999999997,exponential-9-16-3-2-15-1.4
17,exponential,9,16,3,2,15,1.6,116,0.4526576019777503,-0.25288442293248037,3.142857142857143,22052.57,exponential-9-16-3-2-15-1.6
18,exponential,9,16,3,2,15,1.8,119,0.4657601977750309,-0.266750026722565,3.25,24433.059999999998,exponential-9-16-3-2-15-1.8
19,exponential,9,16,3,2,15,2.0,119,0.4754017305315204,-0.266750026722565,3.103448275862069,23858.869999999984,exponential-9-16-3-2-15-2.0
20,exponential,9,16,3,3,3,1.0,43,0.27564894932014833,-0.20553527844331468,2.0714285714285716,14639.100000000006,exponential-9-16-3-3-3-1.0
21,exponential,9,16,3,3,3,1.2,44,0.2996291718170581,-0.24687848258685016,1.9333333333333333,14113.07,exponential-9-16-3-3-3-1.2
22,exponential,9,16,3,3,3,1.4,49,0.342150803461063,-0.329060211827403,1.8823529411764706,14159.430000000008,exponential-9-16-3-3-3-1.4
23,exponential,9,16,3,3,3,1.6,50,0.3473423980222497,-0.329060211827403,1.7777777777777777,14881.440000000006,exponential-9-16-3-3-3-1.6
24,exponential,9,16,3,3,3,1.8,50,0.357725587144623,-0.28937745342053545,1.7777777777777777,15537.529999999995,exponential-9-16-3-3-3-1.8
25,exponential,9,16,3,3,3,2.0,52,0.36019777503090233,-0.28937745342053545,1.736842105263158,16512.250000000015,exponential-9-16-3-3-3-2.0
26,exponential,9,16,3,3,6,1.0,43,0.31990111248454883,-0.38355349167279584,2.0714285714285716,12764.560000000001,exponential-9-16-3-3-6-1.0
27,exponential,9,16,3,3,6,1.2,44,0.32978986402966626,-0.3470004323359752,2.3846153846153846,14700.730000000005,exponential-9-16-3-3-6-1.2
28,exponential,9,16,3,3,6,1.4,44,0.3532756489493202,-0.3807777569169448,2.3846153846153846,15484.739999999998,exponential-9-16-3-3-6-1.4
