,avgType,avgType2,fast,slow,sig,delay,window,stdev,numSell,exposure,drawdown,winLoss,value,zzz
0,exponential,logarithmic,11,13,9,2,9,1.4,117,0.5065512978986403,-0.35448313570594975,3.3333333333333335,27365.319999999992,exponential-11-13-9-2-9-1.4
1,exponential,logarithmic,11,13,9,2,9,1.6,121,0.5122373300370828,-0.38801178419579335,3.033333333333333,24360.589999999993,exponential-11-13-9-2-9-1.6
2,exponential,logarithmic,11,13,9,2,9,1.8,118,0.5258343634116193,-0.4743416274268175,3.0689655172413794,20791.300000000014,exponential-11-13-9-2-9-1.8
3,exponential,logarithmic,11,13,9,2,9,2.0,124,0.5372064276885044,-0.4665162359124177,3.1333333333333333,22964.21499999999,exponential-11-13-9-2-9-2.0
4,exponential,logarithmic,11,13,9,2,12,1.0,108,0.47119901112484547,-0.39576291242645095,3.0,21017.339999999975,exponential-11-13-9-2-12-1.0
5,exponential,logarithmic,11,13,9,2,12,1.2,110,0.4865265760197775,-0.3874348156067143,3.230769230769231,22738.979999999992,exponential-11-13-9-2-12-1.2
6,exponential,logarithmic,11,13,9,2,12,1.4,116,0.5048207663782448,-0.3437965675673465,3.2962962962962963,26653.800000000003,exponential-11-13-9-2-12-1.4
7,exponential,logarithmic,11,13,9,2,12,1.6,121,0.5186650185414091,-0.3997510955874546,3.1724137931034484,24754.085000000003,exponential-11-13-9-2-12-1.6
8,exponential,logarithmic,11,13,9,2,12,1.8,120,0.5339925834363412,-0.5020622342639359,3.0,20623.094999999998,exponential-11-13-9-2-12-1.8
9,exponential,logarithmic,11,13,9,2,12,2.0,122,0.5389369592088998,-0.4874544015277012,2.935483870967742,19420.159999999993,exponential-11-13-9-2-12-2.0
10,exponential,logarithmic,11,13,9,2,15,1.0,108,0.47416563658838073,-0.3818919999673567,3.1538461538461537,21435.34999999998,exponential-11-13-9-2-15-1.0
11,exponential,logarithmic,11,13,9,2,15,1.2,110,0.4917181705809642,-0.3437965675673465,3.074074074074074,24762.95000000001,exponential-11-13-9-2-15-1.2
12,exponential,logarithmic,11,13,9,2,15,1.4,118,0.5072929542645241,-0.3540979459265361,3.3703703703703702,25994.10999999998,exponential-11-13-9-2-15-1.4
13,exponential,logarithmic,11,13,9,2,15,1.6,120,0.5280593325092707,-0.4380529962378706,2.870967741935484,22292.585000000006,exponential-11-13-9-2-15-1.6
14,exponential,logarithmic,11,13,9,2,15,1.8,121,0.5374536464771322,-0.5020622342639359,2.903225806451613,19827.664999999983,exponential-11-13-9-2-15-1.8
15,exponential,logarithmic,11,13,9,2,15,2.0,124,0.5488257107540173,-0.5432905979418454,2.875,17720.395000000008,exponential-11-13-9-2-15-2.0
16,exponential,logarithmic,11,13,9,3,6,1.0,75,0.40222496909765143,-0.4403114466329947,1.8846153846153846,11513.13000000001,exponential-11-13-9-3-6-1.0
17,exponential,logarithmic,11,13,9,3,6,1.2,78,0.4205191594561187,-0.42478308940988124,2.391304347826087,14053.920000000007,exponential-11-13-9-3-6-1.2
18,exponential,logarithmic,11,13,9,3,6,1.4,81,0.43016069221260816,-0.4158634603027594,2.24,14691.980000000005,exponential-11-13-9-3-6-1.4
19,exponential,logarithmic,11,13,9,3,6,1.6,83,0.43906056860321385,-0.3632215844434632,2.32,16399.83,exponential-11-13-9-3-6-1.6
20,exponential,logarithmic,11,13,9,3,6,1.8,84,0.44944375772558715,-0.4243765503228981,2.230769230769231,14134.960000000023,exponential-11-13-9-3-6-1.8
21,exponential,logarithmic,11,13,9,3,6,2.0,84,0.4561186650185414,-0.38789123778139173,2.5,14223.530000000017,exponential-11-13-9-3-6-2.0
22,exponential,logarithmic,11,13,9,3,9,1.0,74,0.4088998763906057,-0.40639908676782593,2.217391304347826,13071.36,exponential-11-13-9-3-9-1.0
23,exponential,logarithmic,11,13,9,3,9,1.2,75,0.419283065512979,-0.3858639269701441,2.409090909090909,14629.250000000013,exponential-11-13-9-3-9-1.2
24,exponential,logarithmic,11,13,9,3,9,1.4,80,0.44054388133498146,-0.3324341011806684,2.6363636363636362,17215.210000000017,exponential-11-13-9-3-9-1.4
25,exponential,logarithmic,11,13,9,3,9,1.6,81,0.44425216316440047,-0.3324341011806684,2.5217391304347827,17188.290000000005,exponential-11-13-9-3-9-1.6
26,exponential,logarithmic,11,13,9,3,9,1.8,82,0.45488257107540175,-0.46591712705199045,2.5652173913043477,13323.24000000001,exponential-11-13-9-3-9-1.8
27,exponential,logarithmic,11,13,9,3,9,2.0,83,0.45933250927070457,-0.4514647971253291,2.32,13455.190000000017,exponential-11-13-9-3-9-2.0
28,exponential,logarithmic,11,13,9,3,12,1.0,74,0.41063040791100125,-0.3930622713778533,2.5238095238095237,14390.47000000002,exponential-11-13-9-3-12-1.0
29,exponential,logarithmic,11,13,9,3,12,1.2,76,0.41903584672435107,-0.3858639269701441,2.4545454545454546,14733.33000000001,exponential-11-13-9-3-12-1.2
30,exponential,logarithmic,11,13,9,3,12,1.4,78,0.43831891223733005,-0.3324341011806684,2.9,17057.400000000016,exponential-11-13-9-3-12-1.4
31,exponential,logarithmic,11,13,9,3,12,1.6,81,0.44672435105067987,-0.3454747622688651,2.5217391304347827,17167.5,exponential-11-13-9-3-12-1.6
32,exponential,logarithmic,11,13,9,3,12,1.8,82,0.46131025957972804,-0.48688485161772055,2.4166666666666665,12783.510000000006,exponential-11-13-9-3-12-1.8
33,exponential,logarithmic,11,13,9,3,12,2.0,83,0.46526576019777505,-0.4727403426774505,2.608695652173913,12468.390000000012,exponential-11-13-9-3-12-2.0
34,exponential,logarithmic,11,13,9,3,15,1.0,75,0.4088998763906057,-0.3777905812162787,2.409090909090909,14458.450000000015,exponential-11-13-9-3-15-1.0
35,exponential,logarithmic,11,13,9,3,15,1.2,74,0.4222496909765142,-0.3324341011806684,2.7,15876.690000000013,exponential-11-13-9-3-15-1.2
36,exponential,logarithmic,11,13,9,3,15,1.4,78,0.44177997527812113,-0.3454747622688651,2.5454545454545454,16620.72,exponential-11-13-9-3-15-1.4
37,exponential,logarithmic,11,13,9,3,15,1.6,82,0.45859085290482077,-0.4307887396749844,2.4166666666666665,14322.300000000016,exponential-11-13-9-3-15-1.6
38,exponential,logarithmic,11,13,9,3,15,1.8,82,0.4640296662546354,-0.48688485161772055,2.5652173913043477,12820.640000000005,exponential-11-13-9-3-15-1.8
39,exponential,logarithmic,11,13,9,3,15,2.0,82,0.47292954264524106,-0.5291155576136785,2.5652173913043477,11110.390000000007,exponential-11-13-9-3-15-2.0
40,exponential,logarithmic,11,13,9,4,6,1.0,26,0.22694684796044498,-0.31066409581044885,3.3333333333333335,13076.970000000001,exponential-11-13-9-4-6-1.0
41,exponential,logarithmic,11,13,9,4,6,1.2,28,0.2338689740420272,-0.31066409581044885,3.0,13152.899999999998,exponential-11-13-9-4-6-1.2
42,exponential,logarithmic,11,13,9,4,6,1.4,30,0.23906056860321384,-0.27186188482716683,2.75,14312.399999999987,exponential-11-13-9-4-6-1.4
43,exponential,logarithmic,11,13,9,4,6,1.6,32,0.24573547589616812,-0.27186188482716683,3.0,14983.78999999999,exponential-11-13-9-4-6-1.6
44,exponential,logarithmic,11,13,9,4,6,1.8,33,0.2986402966625464,-0.3261499550745516,2.3,13577.229999999989,exponential-11-13-9-4-6-1.8
45,exponential,logarithmic,11,13,9,4,6,2.0,33,0.303831891223733,-0.28167596123299005,3.125,14406.88,exponential-11-13-9-4-6-2.0
46,exponential,logarithmic,11,13,9,4,9,1.0,26,0.22719406674907294,-0.31066409581044885,3.3333333333333335,13059.07,exponential-11-13-9-4-9-1.0
47,exponential,logarithmic,11,13,9,4,9,1.2,27,0.23016069221260815,-0.27186188482716683,3.5,14652.809999999992,exponential-11-13-9-4-9-1.2
48,exponential,logarithmic,11,13,9,4,9,1.4,32,0.29666254635352285,-0.2928936828923365,3.0,14462.919999999991,exponential-11-13-9-4-9-1.4
49,exponential,logarithmic,11,13,9,4,9,1.6,32,0.29839307787391844,-0.2928936828923365,2.5555555555555554,13894.90999999999,exponential-11-13-9-4-9-1.6
50,exponential,logarithmic,11,13,9,4,9,1.8,32,0.30506798516687267,-0.36273801467359307,3.0,12684.669999999998,exponential-11-13-9-4-9-1.8
51,exponential,logarithmic,11,13,9,4,9,2.0,32,0.30803461063040793,-0.3261499550745516,3.0,13467.77999999999,exponential-11-13-9-4-9-2.0
52,exponential,logarithmic,11,13,9,4,12,1.0,27,0.22991347342398022,-0.27186188482716683,3.5,14486.309999999992,exponential-11-13-9-4-12-1.0
53,exponential,logarithmic,11,13,9,4,12,1.2,28,0.2323856613102596,-0.27186188482716683,3.0,14370.309999999994,exponential-11-13-9-4-12-1.2
54,exponential,logarithmic,11,13,9,4,12,1.4,30,0.2939431396786156,-0.2928936828923365,3.2857142857142856,14140.929999999991,exponential-11-13-9-4-12-1.4
55,exponential,logarithmic,11,13,9,4,12,1.6,32,0.2993819530284302,-0.2928936828923365,2.5555555555555554,13969.39999999999,exponential-11-13-9-4-12-1.6
56,exponential,logarithmic,11,13,9,4,12,1.8,32,0.30630407911001234,-0.36273801467359307,3.0,12660.039999999999,exponential-11-13-9-4-12-1.8
57,exponential,logarithmic,11,13,9,4,12,2.0,32,0.3085290482076638,-0.28167596123299005,3.5714285714285716,14305.78,exponential-11-13-9-4-12-2.0
58,exponential,logarithmic,11,13,9,4,15,1.0,28,0.23164400494437576,-0.27186188482716683,3.0,14263.849999999993,exponential-11-13-9-4-15-1.0
59,exponential,logarithmic,11,13,9,4,15,1.2,29,0.28702101359703336,-0.2928936828923365,3.142857142857143,14609.819999999996,exponential-11-13-9-4-15-1.2
60,exponential,logarithmic,11,13,9,4,15,1.4,30,0.2949320148331273,-0.2928936828923365,2.75,13704.039999999992,exponential-11-13-9-4-15-1.4
61,exponential,logarithmic,11,13,9,4,15,1.6,32,0.3060568603213844,-0.3399910413111719,3.0,13101.129999999988,exponential-11-13-9-4-15-1.6
62,exponential,logarithmic,11,13,9,4,15,1.8,32,0.3067985166872682,-0.36273801467359307,3.0,12753.0,exponential-11-13-9-4-15-1.8
63,exponential,logarithmic,11,13,9,4,15,2.0,32,0.30951792336217554,-0.28167596123299005,3.5714285714285716,14861.94,exponential-11-13-9-4-15-2.0
64,exponential,logarithmic,11,16,3,1,6,1.0,148,0.48553770086526576,-0.3457894465404318,3.0,17805.589999999982,exponential-11-16-3-1-6-1.0
65,exponential,logarithmic,11,16,3,1,6,1.2,150,0.5080346106304079,-0.3304555498692818,3.1666666666666665,22046.24999999999,exponential-11-16-3-1-6-1.2
66,exponential,logarithmic,11,16,3,1,6,1.4,153,0.5206427688504326,-0.28026135700939075,3.25,23269.159999999993,exponential-11-16-3-1-6-1.4
67,exponential,logarithmic,11,16,3,1,6,1.6,162,0.5322620519159457,-0.21527280228826254,2.857142857142857,23707.899999999983,exponential-11-16-3-1-6-1.6
68,exponential,logarithmic,11,16,3,1,6,1.8,166,0.5466007416563659,-0.30536797464186444,2.772727272727273,21200.309999999972,exponential-11-16-3-1-6-1.8
69,exponential,logarithmic,11,16,3,1,6,2.0,162,0.5597033374536465,-0.3270350578611414,3.05,22355.249999999978,exponential-11-16-3-1-6-2.0
70,exponential,logarithmic,11,16,3,1,9,1.0,141,0.4902348578491965,-0.26438058972129425,3.40625,22177.01999999997,exponential-11-16-3-1-9-1.0
71,exponential,logarithmic,11,16,3,1,9,1.2,148,0.5087762669962917,-0.24291205979315253,3.3529411764705883,25133.109999999982,exponential-11-16-3-1-9-1.2
72,exponential,logarithmic,11,16,3,1,9,1.4,149,0.523114956736712,-0.23159769745585568,3.3823529411764706,26244.790000000005,exponential-11-16-3-1-9-1.4
73,exponential,logarithmic,11,16,3,1,9,1.6,154,0.5327564894932015,-0.27568007172639275,3.0526315789473686,24358.899999999976,exponential-11-16-3-1-9-1.6
74,exponential,logarithmic,11,16,3,1,9,1.8,158,0.5478368355995056,-0.37679444913892685,3.051282051282051,20076.26999999999,exponential-11-16-3-1-9-1.8
75,exponential,logarithmic,11,16,3,1,9,2.0,162,0.5589616810877627,-0.3583566404436882,3.05,22095.339999999997,exponential-11-16-3-1-9-2.0
76,exponential,logarithmic,11,16,3,1,12,1.0,143,0.4954264524103832,-0.26999498247830744,3.2058823529411766,22578.480000000007,exponential-11-16-3-1-12-1.0
77,exponential,logarithmic,11,16,3,1,12,1.2,147,0.5124845488257107,-0.2431167656475018,3.59375,26079.199999999993,exponential-11-16-3-1-12-1.2
78,exponential,logarithmic,11,16,3,1,12,1.4,150,0.5255871446229914,-0.19476175174257887,3.411764705882353,28825.300000000003,exponential-11-16-3-1-12-1.4
79,exponential,logarithmic,11,16,3,1,12,1.6,156,0.5372064276885044,-0.24788371437979334,3.2162162162162162,26696.23999999998,exponential-11-16-3-1-12-1.6
80,exponential,logarithmic,11,16,3,1,12,1.8,156,0.5545117428924599,-0.41052965656229096,3.0,21019.20999999998,exponential-11-16-3-1-12-1.8
81,exponential,logarithmic,11,16,3,1,12,2.0,158,0.5604449938195303,-0.4203745799761178,2.95,20129.649999999976,exponential-11-16-3-1-12-2.0
82,exponential,logarithmic,11,16,3,1,15,1.0,141,0.5018541409147095,-0.25281413213124254,3.5483870967741935,24325.21999999998,exponential-11-16-3-1-15-1.0
83,exponential,logarithmic,11,16,3,1,15,1.2,143,0.5156983930778739,-0.19476175174257887,3.46875,26740.03000000002,exponential-11-16-3-1-15-1.2
84,exponential,logarithmic,11,16,3,1,15,1.4,149,0.5263288009888751,-0.20838183195871002,3.3823529411764706,27293.869999999984,exponential-11-16-3-1-15-1.4
85,exponential,logarithmic,11,16,3,1,15,1.6,153,0.5470951792336217,-0.31205344568352356,3.25,24094.719999999987,exponential-11-16-3-1-15-1.6
86,exponential,logarithmic,11,16,3,1,15,1.8,158,0.5587144622991347,-0.41052965656229096,2.95,19072.53,exponential-11-16-3-1-15-1.8
87,exponential,logarithmic,11,16,3,1,15,2.0,160,0.5718170580964154,-0.48442688311533766,3.1025641025641026,17867.399999999994,exponential-11-16-3-1-15-2.0
88,exponential,logarithmic,11,16,3,2,6,1.0,104,0.4341161928306551,-0.3953058859408352,2.586206896551724,15567.559999999992,exponential-11-16-3-2-6-1.0
89,exponential,logarithmic,11,16,3,2,6,1.2,106,0.4588380716934487,-0.3855500660770558,2.6551724137931036,20091.690000000017,exponential-11-16-3-2-6-1.2
90,exponential,logarithmic,11,16,3,2,6,1.4,110,0.4669962917181706,-0.33871302226288474,2.793103448275862,21704.49999999999,exponential-11-16-3-2-6-1.4
91,exponential,logarithmic,11,16,3,2,6,1.6,115,0.4773794808405439,-0.28982657314221794,2.59375,22648.659999999996,exponential-11-16-3-2-6-1.6
92,exponential,logarithmic,11,16,3,2,6,1.8,117,0.4909765142150804,-0.31565477279658355,2.4411764705882355,20547.9,exponential-11-16-3-2-6-1.8
93,exponential,logarithmic,11,16,3,2,6,2.0,120,0.5107540173053152,-0.270928941750533,2.75,23160.009999999977,exponential-11-16-3-2-6-2.0
94,exponential,logarithmic,11,16,3,2,9,1.0,101,0.4370828182941904,-0.3670631290027444,2.740740740740741,16837.509999999987,exponential-11-16-3-2-9-1.0
95,exponential,logarithmic,11,16,3,2,9,1.2,105,0.453646477132262,-0.33871302226288474,2.75,20708.930000000022,exponential-11-16-3-2-9-1.2
96,exponential,logarithmic,11,16,3,2,9,1.4,107,0.47441285537700867,-0.2826463352648158,2.962962962962963,23993.640000000007,exponential-11-16-3-2-9-1.4
