,avgType,avgType2,fast,slow,sig,delay,window,stdev,numSell,exposure,drawdown,winLoss,value,zzz
0,logarithmic,exponential,9,13,3,2,12,1.8,140,0.542150803461063,-0.30149474439075136,1.9166666666666667,21052.269999999982,logarithmic-9-13-3-2-12-1.8
1,logarithmic,exponential,9,13,3,2,12,2.0,140,0.5483312731767614,-0.36268966703492644,1.9166666666666667,19148.989999999983,logarithmic-9-13-3-2-12-2.0
2,logarithmic,exponential,9,13,3,2,15,1.0,126,0.4887515451174289,-0.38719673170677466,1.930232558139535,16739.48999999999,logarithmic-9-13-3-2-15-1.0
3,logarithmic,exponential,9,13,3,2,15,1.2,129,0.5028430160692212,-0.36325703151140615,2.0,19473.00999999999,logarithmic-9-13-3-2-15-1.2
4,logarithmic,exponential,9,13,3,2,15,1.4,135,0.5196538936959209,-0.3207645985104756,2.0,20778.56,logarithmic-9-13-3-2-15-1.4
5,logarithmic,exponential,9,13,3,2,15,1.6,137,0.5317676143386897,-0.3108429940756198,1.9148936170212767,19504.309999999983,logarithmic-9-13-3-2-15-1.6
6,logarithmic,exponential,9,13,3,2,15,1.8,138,0.542398022249691,-0.31393226369868626,2.0,21413.94999999997,logarithmic-9-13-3-2-15-1.8
7,logarithmic,exponential,9,13,3,2,15,2.0,139,0.5493201483312732,-0.36268966703492644,1.8958333333333333,19327.99999999999,logarithmic-9-13-3-2-15-2.0
8,logarithmic,exponential,9,13,3,3,6,1.0,70,0.40741656365883805,-0.3472236236143576,1.4137931034482758,11716.609999999997,logarithmic-9-13-3-3-6-1.0
9,logarithmic,exponential,9,13,3,3,6,1.2,68,0.41804697156983933,-0.3402902038832709,1.4285714285714286,13239.279999999993,logarithmic-9-13-3-3-6-1.2
10,logarithmic,exponential,9,13,3,3,6,1.4,69,0.4407911001236094,-0.32989562842794723,1.6538461538461537,14798.599999999993,logarithmic-9-13-3-3-6-1.4
11,logarithmic,exponential,9,13,3,3,6,1.6,69,0.44499381953028433,-0.2909694290805586,1.6538461538461537,14975.779999999993,logarithmic-9-13-3-3-6-1.6
12,logarithmic,exponential,9,13,3,3,6,1.8,74,0.45636588380716936,-0.2909694290805586,1.6428571428571428,14376.63999999999,logarithmic-9-13-3-3-6-1.8
13,logarithmic,exponential,9,13,3,3,6,2.0,75,0.4707045735475896,-0.2909694290805586,1.7777777777777777,14632.48,logarithmic-9-13-3-3-6-2.0
14,logarithmic,exponential,9,13,3,3,9,1.0,68,0.40914709517923364,-0.3402902038832709,1.5185185185185186,11996.070000000002,logarithmic-9-13-3-3-9-1.0
15,logarithmic,exponential,9,13,3,3,9,1.2,67,0.42867737948084056,-0.32989562842794723,1.7916666666666667,14951.649999999992,logarithmic-9-13-3-3-9-1.2
16,logarithmic,exponential,9,13,3,3,9,1.4,68,0.4437577255871446,-0.2909694290805586,1.8333333333333333,15507.919999999991,logarithmic-9-13-3-3-9-1.4
17,logarithmic,exponential,9,13,3,3,9,1.6,68,0.44598269468479607,-0.2909694290805586,1.72,15322.99999999999,logarithmic-9-13-3-3-9-1.6
18,logarithmic,exponential,9,13,3,3,9,1.8,70,0.47169344870210134,-0.2826502510934721,1.8,14874.609999999991,logarithmic-9-13-3-3-9-1.8
19,logarithmic,exponential,9,13,3,3,9,2.0,72,0.4843016069221261,-0.2826502510934721,1.88,15596.13,logarithmic-9-13-3-3-9-2.0
20,logarithmic,exponential,9,13,3,3,12,1.0,66,0.40815822002472185,-0.3402902038832709,1.5384615384615385,12728.419999999998,logarithmic-9-13-3-3-12-1.0
21,logarithmic,exponential,9,13,3,3,12,1.2,67,0.42793572311495676,-0.2909694290805586,1.7916666666666667,15812.669999999993,logarithmic-9-13-3-3-12-1.2
22,logarithmic,exponential,9,13,3,3,12,1.4,68,0.44598269468479607,-0.2909694290805586,1.72,15396.749999999996,logarithmic-9-13-3-3-12-1.4
23,logarithmic,exponential,9,13,3,3,12,1.6,68,0.4650185414091471,-0.2826502510934721,1.8333333333333333,15443.009999999987,logarithmic-9-13-3-3-12-1.6
24,logarithmic,exponential,9,13,3,3,12,1.8,69,0.4820766378244747,-0.2826502510934721,2.0,16115.81999999999,logarithmic-9-13-3-3-12-1.8
25,logarithmic,exponential,9,13,3,3,12,2.0,71,0.4865265760197775,-0.2826502510934721,1.9583333333333333,16075.069999999994,logarithmic-9-13-3-3-12-2.0
26,logarithmic,exponential,9,13,3,3,15,1.0,65,0.41804697156983933,-0.3402902038832709,1.7083333333333333,13830.789999999995,logarithmic-9-13-3-3-15-1.0
27,logarithmic,exponential,9,13,3,3,15,1.2,68,0.4353522867737948,-0.2909694290805586,1.72,15794.159999999996,logarithmic-9-13-3-3-15-1.2
28,logarithmic,exponential,9,13,3,3,15,1.4,69,0.449938195302843,-0.2909694290805586,1.76,14814.91999999999,logarithmic-9-13-3-3-15-1.4
29,logarithmic,exponential,9,13,3,3,15,1.6,68,0.4687268232385661,-0.2826502510934721,1.8333333333333333,14640.999999999984,logarithmic-9-13-3-3-15-1.6
30,logarithmic,exponential,9,13,3,3,15,1.8,68,0.4823238566131026,-0.2826502510934721,2.090909090909091,16453.67999999999,logarithmic-9-13-3-3-15-1.8
31,logarithmic,exponential,9,13,3,3,15,2.0,70,0.48825710754017304,-0.2826502510934721,1.9166666666666667,15876.87999999999,logarithmic-9-13-3-3-15-2.0
32,logarithmic,exponential,9,13,3,4,6,1.0,22,0.2828182941903585,-0.29807578745441327,1.75,9415.170000000004,logarithmic-9-13-3-4-6-1.0
33,logarithmic,exponential,9,13,3,4,6,1.2,22,0.2988875154511743,-0.29807578745441327,2.142857142857143,10376.770000000006,logarithmic-9-13-3-4-6-1.2
34,logarithmic,exponential,9,13,3,4,6,1.4,22,0.3166872682323857,-0.2836670090511178,2.142857142857143,11581.24,logarithmic-9-13-3-4-6-1.4
35,logarithmic,exponential,9,13,3,4,6,1.6,22,0.31718170580964156,-0.2616735799694359,2.142857142857143,12087.959999999997,logarithmic-9-13-3-4-6-1.6
36,logarithmic,exponential,9,13,3,4,6,1.8,22,0.3174289245982695,-0.2616735799694359,2.142857142857143,12958.789999999995,logarithmic-9-13-3-4-6-1.8
37,logarithmic,exponential,9,13,3,4,6,2.0,24,0.33127317676143386,-0.2616735799694359,2.0,12762.549999999996,logarithmic-9-13-3-4-6-2.0
38,logarithmic,exponential,9,13,3,4,9,1.0,22,0.2828182941903585,-0.29807578745441327,1.75,9415.170000000004,logarithmic-9-13-3-4-9-1.0
39,logarithmic,exponential,9,13,3,4,9,1.2,22,0.3166872682323857,-0.2836670090511178,2.142857142857143,11581.24,logarithmic-9-13-3-4-9-1.2
40,logarithmic,exponential,9,13,3,4,9,1.4,22,0.31718170580964156,-0.2616735799694359,2.142857142857143,12087.959999999997,logarithmic-9-13-3-4-9-1.4
41,logarithmic,exponential,9,13,3,4,9,1.6,22,0.3174289245982695,-0.2616735799694359,2.142857142857143,12958.789999999995,logarithmic-9-13-3-4-9-1.6
42,logarithmic,exponential,9,13,3,4,9,1.8,21,0.33572311495673673,-0.24763611571401478,3.2,13738.19,logarithmic-9-13-3-4-9-1.8
43,logarithmic,exponential,9,13,3,4,9,2.0,23,0.33646477132262054,-0.24763611571401478,2.2857142857142856,13021.780000000002,logarithmic-9-13-3-4-9-2.0
44,logarithmic,exponential,9,13,3,4,12,1.0,21,0.2820766378244747,-0.29807578745441327,2.0,10008.320000000005,logarithmic-9-13-3-4-12-1.0
45,logarithmic,exponential,9,13,3,4,12,1.2,22,0.3169344870210136,-0.2426962954479571,2.142857142857143,12225.889999999996,logarithmic-9-13-3-4-12-1.2
46,logarithmic,exponential,9,13,3,4,12,1.4,22,0.31718170580964156,-0.2616735799694359,2.142857142857143,12087.959999999997,logarithmic-9-13-3-4-12-1.4
47,logarithmic,exponential,9,13,3,4,12,1.6,21,0.3226205191594561,-0.24763611571401478,2.5,13217.810000000001,logarithmic-9-13-3-4-12-1.6
48,logarithmic,exponential,9,13,3,4,12,1.8,21,0.33572311495673673,-0.24763611571401478,3.2,13738.19,logarithmic-9-13-3-4-12-1.8
49,logarithmic,exponential,9,13,3,4,12,2.0,23,0.33720642768850434,-0.24763611571401478,2.2857142857142856,12785.639999999998,logarithmic-9-13-3-4-12-2.0
50,logarithmic,exponential,9,13,3,4,15,1.0,21,0.3156983930778739,-0.2836670090511178,2.5,11816.920000000002,logarithmic-9-13-3-4-15-1.0
51,logarithmic,exponential,9,13,3,4,15,1.2,22,0.31718170580964156,-0.2616735799694359,2.142857142857143,12087.959999999997,logarithmic-9-13-3-4-15-1.2
52,logarithmic,exponential,9,13,3,4,15,1.4,22,0.3174289245982695,-0.2616735799694359,2.142857142857143,12958.789999999995,logarithmic-9-13-3-4-15-1.4
53,logarithmic,exponential,9,13,3,4,15,1.6,21,0.3226205191594561,-0.24763611571401478,2.5,13217.810000000001,logarithmic-9-13-3-4-15-1.6
54,logarithmic,exponential,9,13,3,4,15,1.8,21,0.33646477132262054,-0.24763611571401478,3.2,13487.599999999999,logarithmic-9-13-3-4-15-1.8
55,logarithmic,exponential,9,13,3,4,15,2.0,21,0.33671199011124847,-0.24763611571401478,3.2,13260.770000000002,logarithmic-9-13-3-4-15-2.0
56,logarithmic,exponential,9,13,5,1,6,1.0,161,0.5122373300370828,-0.39485469301686504,2.0961538461538463,19978.330000000027,logarithmic-9-13-5-1-6-1.0
57,logarithmic,exponential,9,13,5,1,6,1.2,161,0.5297898640296662,-0.35543307603773094,2.2857142857142856,23270.229999999996,logarithmic-9-13-5-1-6-1.2
58,logarithmic,exponential,9,13,5,1,6,1.4,163,0.5458590852904821,-0.39270265771337354,2.196078431372549,21124.669999999995,logarithmic-9-13-5-1-6-1.4
59,logarithmic,exponential,9,13,5,1,6,1.6,166,0.553770086526576,-0.3889989090895267,2.1923076923076925,21275.619999999995,logarithmic-9-13-5-1-6-1.6
60,logarithmic,exponential,9,13,5,1,6,1.8,174,0.5698393077873919,-0.384255159018256,2.1636363636363636,22006.980000000003,logarithmic-9-13-5-1-6-1.8
61,logarithmic,exponential,9,13,5,1,6,2.0,175,0.5779975278121138,-0.384255159018256,2.1818181818181817,22422.24,logarithmic-9-13-5-1-6-2.0
62,logarithmic,exponential,9,13,5,1,9,1.0,156,0.50778739184178,-0.3632795461004586,2.183673469387755,18369.80999999998,logarithmic-9-13-5-1-9-1.0
63,logarithmic,exponential,9,13,5,1,9,1.2,152,0.5278121137206427,-0.32996376895280377,2.619047619047619,26804.480000000003,logarithmic-9-13-5-1-9-1.2
64,logarithmic,exponential,9,13,5,1,9,1.4,158,0.5411619283065513,-0.3511348129677703,2.3617021276595747,24338.33000000001,logarithmic-9-13-5-1-9-1.4
65,logarithmic,exponential,9,13,5,1,9,1.6,161,0.5478368355995056,-0.3508824211370552,2.3541666666666665,25247.629999999997,logarithmic-9-13-5-1-9-1.6
66,logarithmic,exponential,9,13,5,1,9,1.8,165,0.561433868974042,-0.3557262653489065,2.3,25298.43999999998,logarithmic-9-13-5-1-9-1.8
