,avgType,fast,slow,sig,delay,window,stdev,numSell,exposure,drawdown,winLoss,value,zzz
0,simple,7,20,3,3,12,1.4,65,0.46378244746600744,-0.2501796278736906,3.3333333333333335,22985.489999999994,simple-7-20-3-3-12-1.4
1,simple,7,20,3,3,12,1.6,67,0.48405438813349816,-0.36161914714489013,2.35,17196.71,simple-7-20-3-3-12-1.6
2,simple,7,20,3,3,12,1.8,67,0.4850432632880099,-0.3728647537365925,2.35,16844.410000000003,simple-7-20-3-3-12-1.8
3,simple,7,20,3,3,12,2.0,69,0.4946847960444994,-0.4890585980768194,2.1363636363636362,13511.740000000002,simple-7-20-3-3-12-2.0
4,simple,7,20,3,3,15,1.0,61,0.43831891223733005,-0.2321114841296284,2.8125,20471.539999999975,simple-7-20-3-3-15-1.0
5,simple,7,20,3,3,15,1.2,63,0.4573547589616811,-0.2501796278736906,2.9375,21575.960000000003,simple-7-20-3-3-15-1.2
6,simple,7,20,3,3,15,1.4,65,0.47441285537700867,-0.28066938315266177,3.3333333333333335,21289.740000000016,simple-7-20-3-3-15-1.4
7,simple,7,20,3,3,15,1.6,66,0.4835599505562423,-0.3830378134470806,2.6666666666666665,16985.969999999994,simple-7-20-3-3-15-1.6
8,simple,7,20,3,3,15,1.8,68,0.49221260815822004,-0.35621559900794175,2.5789473684210527,17784.53000000002,simple-7-20-3-3-15-1.8
9,simple,7,20,3,3,15,2.0,72,0.5107540173053152,-0.41316973671346985,2.4285714285714284,17193.219999999994,simple-7-20-3-3-15-2.0
10,simple,7,20,3,4,3,1.0,32,0.33943139678615575,-0.2941439310554787,1.4615384615384615,8573.31,simple-7-20-3-4-3-1.0
11,simple,7,20,3,4,3,1.2,35,0.3868974042027194,-0.3139425286606212,1.5,8750.589999999995,simple-7-20-3-4-3-1.2
12,simple,7,20,3,4,3,1.4,34,0.4491965389369592,-0.328650216543288,2.090909090909091,9541.279999999999,simple-7-20-3-4-3-1.4
13,simple,7,20,3,4,3,1.6,35,0.4622991347342398,-0.289037461897674,1.6923076923076923,9694.73,simple-7-20-3-4-3-1.6
14,simple,7,20,3,4,3,1.8,36,0.4635352286773795,-0.289037461897674,2.0,10034.97,simple-7-20-3-4-3-1.8
15,simple,7,20,3,4,3,2.0,34,0.47268232385661313,-0.25310785623056203,1.8333333333333333,10471.999999999996,simple-7-20-3-4-3-2.0
16,simple,7,20,3,4,6,1.0,31,0.3826946847960445,-0.2522283825219857,1.8181818181818181,9861.39,simple-7-20-3-4-6-1.0
17,simple,7,20,3,4,6,1.2,32,0.4093943139678616,-0.2549517082049596,2.5555555555555554,11086.170000000002,simple-7-20-3-4-6-1.2
18,simple,7,20,3,4,6,1.4,31,0.43831891223733005,-0.23783959581015662,2.4444444444444446,10762.040000000005,simple-7-20-3-4-6-1.4
19,simple,7,20,3,4,6,1.6,30,0.4437577255871446,-0.25310785623056203,2.75,10599.160000000003,simple-7-20-3-4-6-1.6
20,simple,7,20,3,4,6,1.8,31,0.453646477132262,-0.2660986315047256,2.4444444444444446,10248.150000000009,simple-7-20-3-4-6-1.8
21,simple,7,20,3,4,6,2.0,31,0.47169344870210134,-0.2660986315047256,2.4444444444444446,11501.83,simple-7-20-3-4-6-2.0
22,simple,7,20,3,4,9,1.0,32,0.39901112484548823,-0.26313425683837743,1.9090909090909092,9966.779999999999,simple-7-20-3-4-9-1.0
23,simple,7,20,3,4,9,1.2,31,0.4400494437577256,-0.22865222073021668,2.4444444444444446,10990.770000000008,simple-7-20-3-4-9-1.2
24,simple,7,20,3,4,9,1.4,30,0.44400494437577254,-0.25310785623056203,2.75,10195.230000000001,simple-7-20-3-4-9-1.4
25,simple,7,20,3,4,9,1.6,31,0.4529048207663782,-0.2660986315047256,2.4444444444444446,11050.58,simple-7-20-3-4-9-1.6
26,simple,7,20,3,4,9,1.8,29,0.46971569839307786,-0.31952661104744307,2.2222222222222223,10108.2,simple-7-20-3-4-9-1.8
27,simple,7,20,3,4,9,2.0,29,0.47169344870210134,-0.4235329807179,2.2222222222222223,8629.499999999996,simple-7-20-3-4-9-2.0
28,simple,7,20,3,4,12,1.0,33,0.41433868974042026,-0.24742780827583508,2.3,10355.009999999998,simple-7-20-3-4-12-1.0
29,simple,7,20,3,4,12,1.2,30,0.4444993819530284,-0.25310785623056203,2.75,10633.510000000004,simple-7-20-3-4-12-1.2
30,simple,7,20,3,4,12,1.4,31,0.44647713226205193,-0.2660986315047256,2.4444444444444446,10819.580000000004,simple-7-20-3-4-12-1.4
31,simple,7,20,3,4,12,1.6,30,0.47021013597033373,-0.3300713672745428,2.3333333333333335,9802.479999999996,simple-7-20-3-4-12-1.6
32,simple,7,20,3,4,12,1.8,30,0.47095179233621753,-0.31952661104744307,2.0,9936.089999999995,simple-7-20-3-4-12-1.8
33,simple,7,20,3,4,12,2.0,31,0.47490729295426454,-0.48667488990636826,1.8181818181818181,7415.910000000001,simple-7-20-3-4-12-2.0
34,simple,7,20,3,4,15,1.0,30,0.3935723114956737,-0.22503979803502178,2.3333333333333335,11497.160000000005,simple-7-20-3-4-15-1.0
35,simple,7,20,3,4,15,1.2,31,0.43980222496909765,-0.2660986315047256,2.4444444444444446,11223.460000000005,simple-7-20-3-4-15-1.2
36,simple,7,20,3,4,15,1.4,31,0.4630407911001236,-0.29558750917826543,2.4444444444444446,10260.519999999991,simple-7-20-3-4-15-1.4
37,simple,7,20,3,4,15,1.6,30,0.47194066749072927,-0.3300713672745428,2.0,9745.239999999996,simple-7-20-3-4-15-1.6
38,simple,7,20,3,4,15,1.8,30,0.4758961681087763,-0.3672353698909179,2.3333333333333335,9430.490000000002,simple-7-20-3-4-15-1.8
39,simple,7,20,3,4,15,2.0,29,0.4991347342398022,-0.4235329807179,2.2222222222222223,8767.579999999998,simple-7-20-3-4-15-2.0
40,simple,7,20,6,1,3,1.0,105,0.4647713226205192,-0.4686521842857542,2.1818181818181817,12825.569999999989,simple-7-20-6-1-3-1.0
41,simple,7,20,6,1,3,1.2,108,0.4932014833127318,-0.4600725374317274,1.7,11890.379999999985,simple-7-20-6-1-3-1.2
42,simple,7,20,6,1,3,1.4,104,0.5092707045735476,-0.46368903581133775,1.9714285714285715,12228.28,simple-7-20-6-1-3-1.4
43,simple,7,20,6,1,3,1.6,104,0.5213844252163164,-0.4633680635161785,1.9714285714285715,12766.979999999994,simple-7-20-6-1-3-1.6
44,simple,7,20,6,1,3,1.8,104,0.5315203955500618,-0.4967171714986985,2.0588235294117645,12317.369999999997,simple-7-20-6-1-3-1.8
45,simple,7,20,6,1,3,2.0,106,0.5394313967861557,-0.4332053193155247,2.212121212121212,14685.49000000001,simple-7-20-6-1-3-2.0
46,simple,7,20,6,1,6,1.0,91,0.46056860321384424,-0.4030727328723406,2.25,15352.929999999993,simple-7-20-6-1-6-1.0
47,simple,7,20,6,1,6,1.2,92,0.4810877626699629,-0.41531738623002923,2.1724137931034484,15328.250000000005,simple-7-20-6-1-6-1.2
48,simple,7,20,6,1,6,1.4,94,0.5003708281829419,-0.310766933451456,2.2413793103448274,16573.510000000002,simple-7-20-6-1-6-1.4
49,simple,7,20,6,1,6,1.6,91,0.5080346106304079,-0.36490656764685786,2.3703703703703702,15541.490000000002,simple-7-20-6-1-6-1.6
50,simple,7,20,6,1,6,1.8,99,0.523114956736712,-0.4477753851451256,2.193548387096774,13619.239999999996,simple-7-20-6-1-6-1.8
51,simple,7,20,6,1,6,2.0,104,0.5330037082818294,-0.45137788820993513,1.9714285714285715,13995.930000000006,simple-7-20-6-1-6-2.0
52,simple,7,20,6,1,9,1.0,85,0.4610630407911001,-0.42207683782593647,2.4,14805.44,simple-7-20-6-1-9-1.0
53,simple,7,20,6,1,9,1.2,89,0.4830655129789864,-0.3473993025124951,2.2962962962962963,16931.260000000002,simple-7-20-6-1-9-1.2
54,simple,7,20,6,1,9,1.4,88,0.49740420271940666,-0.34845133030471614,2.52,16620.880000000005,simple-7-20-6-1-9-1.4
55,simple,7,20,6,1,9,1.6,91,0.5097651421508035,-0.3447649072597706,2.3703703703703702,17818.390000000003,simple-7-20-6-1-9-1.6
56,simple,7,20,6,1,9,1.8,91,0.5221260815822002,-0.44734021246462646,2.25,14203.920000000002,simple-7-20-6-1-9-1.8
57,simple,7,20,6,1,9,2.0,93,0.5285537700865266,-0.502454010553154,2.206896551724138,12293.119999999995,simple-7-20-6-1-9-2.0
58,simple,7,20,6,1,12,1.0,83,0.4657601977750309,-0.3907521912198943,2.9523809523809526,15202.960000000001,simple-7-20-6-1-12-1.0
59,simple,7,20,6,1,12,1.2,85,0.48627935723114957,-0.34845133030471614,2.6956521739130435,16944.49,simple-7-20-6-1-12-1.2
60,simple,7,20,6,1,12,1.4,90,0.49517923362175525,-0.35983070658027816,2.4615384615384617,17831.109999999997,simple-7-20-6-1-12-1.4
61,simple,7,20,6,1,12,1.6,89,0.5156983930778739,-0.45027568146051944,2.0689655172413794,13703.450000000003,simple-7-20-6-1-12-1.6
62,simple,7,20,6,1,12,1.8,90,0.5196538936959209,-0.416291550123155,2.4615384615384617,15215.720000000001,simple-7-20-6-1-12-1.8
63,simple,7,20,6,1,12,2.0,94,0.5317676143386897,-0.5511881598424728,2.1333333333333333,11059.17000000001,simple-7-20-6-1-12-2.0
64,simple,7,20,6,1,15,1.0,86,0.46971569839307786,-0.34556430995714926,2.44,16101.939999999991,simple-7-20-6-1-15-1.0
65,simple,7,20,6,1,15,1.2,85,0.48553770086526576,-0.35983070658027816,2.4,17119.420000000006,simple-7-20-6-1-15-1.2
66,simple,7,20,6,1,15,1.4,89,0.5055624227441285,-0.4130662543917403,2.423076923076923,14945.230000000007,simple-7-20-6-1-15-1.4
