,avgType,windowSlow,windowFast,steepness,fast,slow,sig,delay,numBuy,numSell,avgEarn,value
0,exponential,50,30,2,10,10,14,6,0,0,,10000.0
1,exponential,50,30,3,10,10,14,6,0,0,,10000.0
2,exponential,50,30,4,10,10,14,6,0,0,,10000.0
3,exponential,50,30,5,10,10,14,6,0,0,,10000.0
4,exponential,50,30,1,10,13,2,1,0,0,,10000.0
5,exponential,50,30,2,10,13,2,1,0,0,,10000.0
6,exponential,50,30,3,10,13,2,1,0,0,,10000.0
7,exponential,50,30,4,10,13,2,1,0,0,,10000.0
8,exponential,50,30,5,10,13,2,1,0,0,,10000.0
9,exponential,50,30,1,10,13,2,2,0,0,,10000.0
10,exponential,50,30,2,10,13,2,2,0,0,,10000.0
11,exponential,50,30,3,10,13,2,2,0,0,,10000.0
12,exponential,50,30,4,10,13,2,2,0,0,,10000.0
13,exponential,50,30,5,10,13,2,2,0,0,,10000.0
14,exponential,50,30,1,10,13,2,3,0,0,,10000.0
15,exponential,50,30,2,10,13,2,3,0,0,,10000.0
16,exponential,50,30,3,10,13,2,3,0,0,,10000.0
17,exponential,50,30,4,10,13,2,3,0,0,,10000.0
18,exponential,50,30,5,10,13,2,3,0,0,,10000.0
19,exponential,50,30,1,10,13,2,4,0,0,,10000.0
20,exponential,50,30,2,10,13,2,4,0,0,,10000.0
21,exponential,50,30,3,10,13,2,4,0,0,,10000.0
22,exponential,50,30,4,10,13,2,4,0,0,,10000.0
23,exponential,50,30,5,10,13,2,4,0,0,,10000.0
24,exponential,50,30,1,10,13,2,5,0,0,,10000.0
25,exponential,50,30,2,10,13,2,5,0,0,,10000.0
26,exponential,50,30,3,10,13,2,5,0,0,,10000.0
27,exponential,50,30,4,10,13,2,5,0,0,,10000.0
28,exponential,50,30,5,10,13,2,5,0,0,,10000.0
29,exponential,50,30,1,10,13,2,6,0,0,,10000.0
30,exponential,50,30,2,10,13,2,6,0,0,,10000.0
31,exponential,50,30,3,10,13,2,6,0,0,,10000.0
32,exponential,50,30,4,10,13,2,6,0,0,,10000.0
33,exponential,50,30,5,10,13,2,6,0,0,,10000.0
34,exponential,50,30,1,10,13,4,1,235,234,0.0046774367181476205,26477.85
35,exponential,50,30,2,10,13,4,1,217,216,0.004875905944825925,25474.439999999995
36,exponential,50,30,3,10,13,4,1,207,207,0.005092513395101136,25038.770000000008
37,exponential,50,30,4,10,13,4,1,202,201,0.006378277476857272,29196.05
38,exponential,50,30,5,10,13,4,1,202,201,0.006145197222367038,27823.810000000023
39,exponential,50,30,1,10,13,4,2,179,179,0.004379372605817286,19971.309999999994
40,exponential,50,30,2,10,13,4,2,164,164,0.0031360428200513497,15311.120000000003
41,exponential,50,30,3,10,13,4,2,160,160,0.003851864388355491,16900.44000000001
42,exponential,50,30,4,10,13,4,2,158,157,0.005247420161858699,19367.139999999996
43,exponential,50,30,5,10,13,4,2,158,157,0.004848945742849138,18217.039999999997
44,exponential,50,30,1,10,13,4,3,78,78,0.006675112792153781,14507.670000000002
45,exponential,50,30,2,10,13,4,3,77,77,0.00621303930455013,13999.730000000001
46,exponential,50,30,3,10,13,4,3,75,75,0.007820269742273166,15552.369999999999
47,exponential,50,30,4,10,13,4,3,75,74,0.008553505082860197,15230.949999999997
48,exponential,50,30,5,10,13,4,3,75,74,0.008912813675258804,15555.039999999992
49,exponential,50,30,1,10,13,4,4,19,19,-0.0005499191998895635,9763.100000000011
50,exponential,50,30,2,10,13,4,4,18,18,-0.0015202695339359066,9552.480000000003
51,exponential,50,30,3,10,13,4,4,18,18,-0.004931476035075897,8978.5
52,exponential,50,30,4,10,13,4,4,18,17,-0.0038751825056583646,8441.669999999995
53,exponential,50,30,5,10,13,4,4,18,17,-0.005062280355453567,8290.329999999998
54,exponential,50,30,1,10,13,4,5,3,3,0.032802094420697925,10980.95
55,exponential,50,30,2,10,13,4,5,3,3,0.029923182450876874,10888.150000000001
56,exponential,50,30,3,10,13,4,5,3,3,0.026225269662054972,10768.95
57,exponential,50,30,4,10,13,4,5,3,3,0.023222266659051947,10669.23
58,exponential,50,30,5,10,13,4,5,3,3,0.023222266659051947,10669.23
59,exponential,50,30,1,10,13,4,6,0,0,,10000.0
60,exponential,50,30,2,10,13,4,6,0,0,,10000.0
61,exponential,50,30,3,10,13,4,6,0,0,,10000.0
62,exponential,50,30,4,10,13,4,6,0,0,,10000.0
63,exponential,50,30,5,10,13,4,6,0,0,,10000.0
64,exponential,50,30,1,10,13,6,1,221,220,0.004119878152143183,21877.32000000002
65,exponential,50,30,2,10,13,6,1,205,204,0.0041728645190610494,20849.71000000003
66,exponential,50,30,3,10,13,6,1,195,195,0.004462615584416497,20900.510000000006
67,exponential,50,30,4,10,13,6,1,189,188,0.0051063617742051915,21350.110000000026
68,exponential,50,30,5,10,13,6,1,189,188,0.005052279010674598,21279.050000000036
69,exponential,50,30,1,10,13,6,2,175,175,0.0026524356463039625,14606.074999999966
70,exponential,50,30,2,10,13,6,2,160,160,0.002813118074274955,14381.744999999984
71,exponential,50,30,3,10,13,6,2,156,156,0.003983361034343423,17084.164999999997
72,exponential,50,30,4,10,13,6,2,155,154,0.005729378425272493,20684.379999999976
73,exponential,50,30,5,10,13,6,2,155,154,0.005321722459830204,19404.409999999985
74,exponential,50,30,1,10,13,6,3,81,81,0.005705875471456214,15064.850000000013
75,exponential,50,30,2,10,13,6,3,79,79,0.004608559137371762,13542.390000000005
76,exponential,50,30,3,10,13,6,3,78,78,0.00693614348136558,16253.74000000001
77,exponential,50,30,4,10,13,6,3,78,77,0.010359987145156903,19312.029999999995
78,exponential,50,30,5,10,13,6,3,78,77,0.009302976572922311,17810.530000000017
79,exponential,50,30,1,10,13,6,4,27,27,0.00840714715441667,12159.530000000002
80,exponential,50,30,2,10,13,6,4,26,26,0.0017654795433011139,10110.150000000003
81,exponential,50,30,3,10,13,6,4,25,25,0.004234789494605203,10644.729999999996
