,avgType,windowSlow,windowFast,steepness,fast,slow,sig,delay,numBuy,numSell,avgEarn,value
0,simple,125,30,0,6,7,4,3,41,40,0.010673002370615829,11965.900000000007
1,simple,125,30,0,6,7,4,4,12,11,0.0356593172601265,11633.320000000005
2,simple,125,30,0,6,7,4,5,3,3,0.021294095122335478,10242.539999999999
3,simple,125,30,0,6,7,4,6,1,1,0.25887336844515685,12577.54
4,simple,125,30,0,6,7,6,1,190,189,0.0029964413869322895,14421.575
5,simple,125,30,0,6,7,6,2,127,126,0.001622029093754326,9633.240000000002
6,simple,125,30,0,6,7,6,3,55,54,-0.0013625032369787777,8097.920000000006
7,simple,125,30,0,6,7,6,4,14,13,-0.024855679053128424,6431.86
8,simple,125,30,0,6,7,6,5,2,2,0.252371451636998,15607.840000000002
9,simple,125,30,0,6,7,6,6,1,1,0.3261784802263788,13260.94
10,simple,125,30,0,6,7,8,1,145,144,0.0041441277193473335,14628.974999999986
11,simple,125,30,0,6,7,8,2,111,110,0.0016366580992408352,10041.170000000015
12,simple,125,30,0,6,7,8,3,54,53,-0.001286637809148493,8042.410000000004
13,simple,125,30,0,6,7,8,4,17,17,0.008280359432543313,9862.340000000004
14,simple,125,30,0,6,7,8,5,5,4,0.04195744403375894,15530.940000000002
15,simple,125,30,0,6,7,8,6,1,0,,13387.899999999998
16,simple,125,30,0,6,7,10,1,133,132,0.006946456885942817,20131.33999999999
17,simple,125,30,0,6,7,10,2,99,98,0.003867059828343226,11848.250000000007
18,simple,125,30,0,6,7,10,3,44,44,0.0024788331149764014,9868.409999999989
19,simple,125,30,0,6,7,10,4,13,12,0.003487087084773311,10067.639999999998
20,simple,125,30,0,6,7,10,5,7,7,0.041134069923685866,12442.42
21,simple,125,30,0,6,7,10,6,1,0,,14363.839999999998
22,simple,125,30,0,6,7,12,1,121,120,0.005836984596541499,16445.240000000005
23,simple,125,30,0,6,7,12,2,87,86,0.003964509687100692,11660.949999999993
24,simple,125,30,0,6,7,12,3,42,42,0.002411773273182808,9796.599999999995
25,simple,125,30,0,6,7,12,4,11,10,0.010560620316223809,10212.310000000001
26,simple,125,30,0,6,7,12,5,3,3,0.061186977774090774,11908.249999999998
27,simple,125,30,0,6,7,12,6,1,1,-0.10497678467788739,8958.16
28,simple,125,30,0,6,7,14,1,118,118,0.005957000291635728,17116.92499999998
29,simple,125,30,0,6,7,14,2,84,84,0.0062692596839019725,14433.239999999983
30,simple,125,30,0,6,7,14,3,47,47,0.013031748948465684,16637.930000000008
31,simple,125,30,0,6,7,14,4,19,18,0.005725327293469775,9643.849999999999
32,simple,125,30,0,6,7,14,5,3,3,0.09868048889516862,12393.259999999998
33,simple,125,30,0,6,7,14,6,2,2,-0.09273932485844175,8249.69
34,simple,125,30,0,6,10,2,1,226,225,0.00444079853045124,21853.020000000008
35,simple,125,30,0,6,10,2,2,146,145,0.003565183449209436,13261.310000000012
36,simple,125,30,0,6,10,2,3,63,62,0.005663351556954534,11439.525000000007
37,simple,125,30,0,6,10,2,4,16,15,0.04975365133809819,18175.63000000001
38,simple,125,30,0,6,10,2,5,4,4,0.1824929974418306,16829.82
39,simple,125,30,0,6,10,2,6,1,0,,42326.08
