,avgType,windowSlow,windowFast,steepness,fast,slow,sig,delay,numBuy,numSell,avgEarn,value
0,exponential,100,40,2,8,25,4,4,20,19,0.0343055112605561,16267.290000000006
1,exponential,100,40,3,8,25,4,4,20,19,0.03417254724952936,16156.749999999998
2,exponential,100,40,4,8,25,4,4,20,19,0.03154631823537904,15364.569999999996
3,exponential,100,40,5,8,25,4,4,20,19,0.033173906791103304,15848.370000000003
4,exponential,100,40,1,8,25,4,5,3,3,0.04193420828410239,11203.240000000002
5,exponential,100,40,2,8,25,4,5,4,4,0.0023031576959217964,10073.26
6,exponential,100,40,3,8,25,4,5,4,4,-0.02333776716662831,9028.589999999998
7,exponential,100,40,4,8,25,4,5,4,4,-0.023641363616885222,9016.499999999996
8,exponential,100,40,5,8,25,4,5,4,4,-0.022968519485342162,9051.169999999998
9,exponential,100,40,1,8,25,4,6,0,0,,10000.0
10,exponential,100,40,2,8,25,4,6,0,0,,10000.0
11,exponential,100,40,3,8,25,4,6,0,0,,10000.0
12,exponential,100,40,4,8,25,4,6,0,0,,10000.0
13,exponential,100,40,5,8,25,4,6,0,0,,10000.0
14,exponential,100,40,1,8,25,6,1,171,170,0.004519485920932679,19392.440000000002
15,exponential,100,40,2,8,25,6,1,155,154,0.0054078979253748445,19080.58
16,exponential,100,40,3,8,25,6,1,150,149,0.0070311157869595775,24013.840000000007
17,exponential,100,40,4,8,25,6,1,148,147,0.0065334088617431145,22207.699999999975
18,exponential,100,40,5,8,25,6,1,146,145,0.006905021405172098,23251.29
19,exponential,100,40,1,8,25,6,2,149,148,0.004397377625125427,17329.634999999977
20,exponential,100,40,2,8,25,6,2,133,132,0.0060081802644570605,18524.719999999987
21,exponential,100,40,3,8,25,6,2,130,129,0.007162955822188475,21449.319999999985
22,exponential,100,40,4,8,25,6,2,126,125,0.007060828986823369,20655.154999999988
23,exponential,100,40,5,8,25,6,2,125,124,0.007364371119665972,21308.264999999985
24,exponential,100,40,1,8,25,6,3,71,71,-0.0014563227131026584,8030.380000000003
25,exponential,100,40,2,8,25,6,3,67,66,0.0016203225222090043,9108.08000000001
26,exponential,100,40,3,8,25,6,3,65,64,0.0024375068401408196,9707.360000000004
27,exponential,100,40,4,8,25,6,3,63,62,0.002749647586304732,9787.990000000013
28,exponential,100,40,5,8,25,6,3,63,62,0.003293997664207294,10149.030000000008
29,exponential,100,40,1,8,25,6,4,22,22,-0.014970574950626757,6583.339999999999
30,exponential,100,40,2,8,25,6,4,22,22,-0.007923054798278073,7575.099999999998
31,exponential,100,40,3,8,25,6,4,22,22,-0.008025635386733643,7542.979999999997
32,exponential,100,40,4,8,25,6,4,22,22,-0.011496630905420585,6977.040000000001
33,exponential,100,40,5,8,25,6,4,22,22,-0.010076215412733885,7191.319999999999
34,exponential,100,40,1,8,25,6,5,5,5,0.038738900522872766,11879.270000000002
35,exponential,100,40,2,8,25,6,5,5,5,0.05092663460699707,12438.359999999999
36,exponential,100,40,3,8,25,6,5,5,5,0.04665820445745171,12142.279999999999
37,exponential,100,40,4,8,25,6,5,5,5,0.04665820445745171,12142.279999999999
38,exponential,100,40,5,8,25,6,5,5,5,0.04844673680884574,12291.51
39,exponential,100,40,1,8,25,6,6,1,1,-0.04205400619743241,9583.9
40,exponential,100,40,2,8,25,6,6,1,1,-0.41906448280950276,5853.599999999999
41,exponential,100,40,3,8,25,6,6,1,1,-0.41906448280950276,5853.599999999999
42,exponential,100,40,4,8,25,6,6,1,1,-0.41906448280950276,5853.599999999999
43,exponential,100,40,5,8,25,6,6,1,1,-0.41906448280950276,5853.599999999999
44,exponential,100,40,1,8,25,8,1,162,161,0.003489007268544985,15481.000000000011
45,exponential,100,40,2,8,25,8,1,145,144,0.004258616421678177,15036.860000000002
46,exponential,100,40,3,8,25,8,1,141,140,0.00519133010671834,17101.02
47,exponential,100,40,4,8,25,8,1,137,136,0.00462066653856349,15580.560000000003
48,exponential,100,40,5,8,25,8,1,136,135,0.005623746921116721,17709.240000000005
49,exponential,100,40,1,8,25,8,2,137,136,0.003952663974637958,15380.599999999991
50,exponential,100,40,2,8,25,8,2,122,121,0.005560049975781294,16191.74
51,exponential,100,40,3,8,25,8,2,119,118,0.006307018838381095,17573.980000000007
52,exponential,100,40,4,8,25,8,2,116,115,0.006319810718996292,17213.19999999999
53,exponential,100,40,5,8,25,8,2,115,114,0.0072664342272957,19083.34999999998
54,exponential,100,40,1,8,25,8,3,84,84,0.0005300386740589179,9449.920000000004
55,exponential,100,40,2,8,25,8,3,77,76,0.002216364680535419,9718.220000000007
56,exponential,100,40,3,8,25,8,3,75,74,0.0019727077708066544,9521.570000000003
57,exponential,100,40,4,8,25,8,3,74,73,0.0013626342972117712,9113.07
58,exponential,100,40,5,8,25,8,3,74,73,0.0019246422485186395,9465.729999999998
59,exponential,100,40,1,8,25,8,4,33,33,-0.004374799689528374,8468.100000000002
60,exponential,100,40,2,8,25,8,4,30,30,-0.009007336026591543,6671.870000000006
61,exponential,100,40,3,8,25,8,4,30,30,-0.007613815351749676,6931.0000000000055
62,exponential,100,40,4,8,25,8,4,28,28,-0.00676078437913809,7165.07
63,exponential,100,40,5,8,25,8,4,28,28,-0.0057126852569670305,7390.129999999997
64,exponential,100,40,1,8,25,8,5,6,6,-0.0690531384499093,5796.020000000001
