,avgType,windowSlow,windowFast,steepness,fast,slow,sig,delay,numBuy,numSell,avgEarn,value
0,logarithmic,100,10,2,4,13,6,6,2,2,3.329567259164473e-05,9841.78
1,logarithmic,100,10,3,4,13,6,6,2,2,3.329567259164473e-05,9841.78
2,logarithmic,100,10,4,4,13,6,6,2,2,3.329567259164473e-05,9841.78
3,logarithmic,100,10,5,4,13,6,6,2,2,3.329567259164473e-05,9841.78
4,logarithmic,100,10,1,4,13,8,1,158,157,0.004189352813194959,16473.860000000015
5,logarithmic,100,10,2,4,13,8,1,160,159,0.0032088429016311525,14003.43000000002
6,logarithmic,100,10,3,4,13,8,1,160,159,0.0035806659978115983,14794.400000000001
7,logarithmic,100,10,4,4,13,8,1,161,160,0.003306119825734559,14143.77000000001
8,logarithmic,100,10,5,4,13,8,1,162,161,0.003316326080938449,14220.930000000011
9,logarithmic,100,10,1,4,13,8,2,135,134,0.004052328639978527,14468.695000000007
10,logarithmic,100,10,2,4,13,8,2,138,137,0.0036169950460753393,13833.189999999988
11,logarithmic,100,10,3,4,13,8,2,137,136,0.0034377968282181945,13451.20000000001
12,logarithmic,100,10,4,4,13,8,2,138,137,0.003418185812001581,13405.19000000001
13,logarithmic,100,10,5,4,13,8,2,138,137,0.0033271474088016804,13182.354999999994
14,logarithmic,100,10,1,4,13,8,3,81,81,0.008349578224515911,18539.98000000001
15,logarithmic,100,10,2,4,13,8,3,81,81,0.0061587041569165675,15500.209999999995
16,logarithmic,100,10,3,4,13,8,3,82,82,0.005809939036719084,15143.600000000004
17,logarithmic,100,10,4,4,13,8,3,82,82,0.0054135358915546215,14660.930000000008
18,logarithmic,100,10,5,4,13,8,3,82,82,0.005204715310198124,14378.530000000008
19,logarithmic,100,10,1,4,13,8,4,29,29,0.021112602699296948,17586.239999999998
20,logarithmic,100,10,2,4,13,8,4,29,29,0.017308917347728017,15742.550000000001
21,logarithmic,100,10,3,4,13,8,4,29,29,0.017384079155850236,15781.1
22,logarithmic,100,10,4,4,13,8,4,29,29,0.017384079155850236,15781.1
23,logarithmic,100,10,5,4,13,8,4,29,29,0.017384079155850236,15781.1
24,logarithmic,100,10,1,4,13,8,5,8,8,0.046993202296288644,14264.34
25,logarithmic,100,10,2,4,13,8,5,9,9,0.039739817464270626,13942.909999999998
26,logarithmic,100,10,3,4,13,8,5,9,9,0.03673087131118691,13589.059999999996
27,logarithmic,100,10,4,4,13,8,5,9,9,0.03752959335591535,13671.029999999995
28,logarithmic,100,10,5,4,13,8,5,9,9,0.03752959335591535,13671.029999999995
29,logarithmic,100,10,1,4,13,8,6,2,2,0.05637990605107982,11015.630000000001
30,logarithmic,100,10,2,4,13,8,6,2,2,0.05637990605107982,11015.630000000001
31,logarithmic,100,10,3,4,13,8,6,2,2,0.04467762718624825,10743.930000000002
32,logarithmic,100,10,4,4,13,8,6,2,2,0.04467762718624825,10743.930000000002
33,logarithmic,100,10,5,4,13,8,6,2,2,0.04467762718624825,10743.930000000002
34,logarithmic,100,10,1,4,13,10,1,144,143,0.004922215515413113,17280.59000000001
35,logarithmic,100,10,2,4,13,10,1,146,145,0.00387606548493568,14804.380000000008
36,logarithmic,100,10,3,4,13,10,1,145,144,0.004057194319457468,15109.199999999997
37,logarithmic,100,10,4,4,13,10,1,146,145,0.004129738942048778,15318.81000000001
