,avgType,windowSlow,windowFast,steepness,fast,slow,sig,delay,numBuy,numSell,avgEarn,value
0,logarithmic,75,30,2,4,10,12,2,120,119,0.006569411886315183,18387.105000000007
1,logarithmic,75,30,3,4,10,12,2,121,120,0.006250610134961767,17780.619999999984
2,logarithmic,75,30,4,4,10,12,2,121,120,0.005949210337102118,17027.930000000004
3,logarithmic,75,30,5,4,10,12,2,121,120,0.006093168574024191,17365.690000000013
4,logarithmic,75,30,1,4,10,12,3,70,69,0.0018483593337430652,9525.2
5,logarithmic,75,30,2,4,10,12,3,70,69,0.002462856655652301,10124.099999999997
6,logarithmic,75,30,3,4,10,12,3,70,69,0.0017048190964028913,9609.48999999999
7,logarithmic,75,30,4,4,10,12,3,70,69,0.0005907469148577587,8842.39
8,logarithmic,75,30,5,4,10,12,3,70,69,0.0008507896232105308,8986.060000000014
9,logarithmic,75,30,1,4,10,12,4,32,32,0.01206412015942922,14185.299999999985
10,logarithmic,75,30,2,4,10,12,4,32,32,0.013804984028014566,15085.869999999997
11,logarithmic,75,30,3,4,10,12,4,33,33,0.013400485431708742,15090.209999999994
12,logarithmic,75,30,4,4,10,12,4,33,33,0.011676001433517347,14247.259999999987
13,logarithmic,75,30,5,4,10,12,4,33,33,0.011752393347805559,14260.699999999986
14,logarithmic,75,30,1,4,10,12,5,9,8,-0.02943654242420376,6950.010000000003
15,logarithmic,75,30,2,4,10,12,5,9,8,-0.031588276129576515,6837.060000000004
16,logarithmic,75,30,3,4,10,12,5,9,8,-0.03485271427313718,6659.680000000002
17,logarithmic,75,30,4,4,10,12,5,9,8,-0.0368300310915225,6558.740000000002
18,logarithmic,75,30,5,4,10,12,5,9,8,-0.0368300310915225,6558.740000000002
19,logarithmic,75,30,1,4,10,12,6,2,2,0.09589856630718722,11931.1
20,logarithmic,75,30,2,4,10,12,6,2,2,0.09186382124139776,11836.9
21,logarithmic,75,30,3,4,10,12,6,2,2,0.09186382124139776,11836.9
22,logarithmic,75,30,4,4,10,12,6,2,2,0.09186382124139776,11836.9
23,logarithmic,75,30,5,4,10,12,6,2,2,0.09186382124139776,11836.9
24,logarithmic,75,30,1,4,10,14,1,122,121,0.006994922636419382,18754.740000000023
25,logarithmic,75,30,2,4,10,14,1,123,122,0.007036982899985318,19702.0
26,logarithmic,75,30,3,4,10,14,1,127,126,0.007404724104981586,21114.51000000001
27,logarithmic,75,30,4,4,10,14,1,127,126,0.007010844095740763,19848.489999999998
