,avgType,windowSlow,windowFast,steepness,fast,slow,sig,delay,numBuy,numSell,avgEarn,value
0,logarithmic,50,20,2,2,13,6,2,126,125,0.008180041969931376,24081.469999999998
1,logarithmic,50,20,3,2,13,6,2,126,125,0.007847287650906634,23053.189999999977
2,logarithmic,50,20,4,2,13,6,2,127,126,0.009567417499901988,29064.849999999988
3,logarithmic,50,20,5,2,13,6,2,127,126,0.009213540762047483,27802.519999999982
4,logarithmic,50,20,1,2,13,6,3,46,45,0.009982199162851774,14025.189999999999
5,logarithmic,50,20,2,2,13,6,3,47,46,0.009947665976130376,14069.300000000001
6,logarithmic,50,20,3,2,13,6,3,47,46,0.009694208448421846,13889.440000000002
7,logarithmic,50,20,4,2,13,6,3,47,46,0.01103255931317497,14815.900000000009
8,logarithmic,50,20,5,2,13,6,3,48,47,0.009460705498916627,13893.15
9,logarithmic,50,20,1,2,13,6,4,13,13,0.030368324366105447,13940.719999999996
10,logarithmic,50,20,2,2,13,6,4,13,13,0.028213684301600213,13495.41
11,logarithmic,50,20,3,2,13,6,4,13,13,0.02884075978512994,13625.999999999998
12,logarithmic,50,20,4,2,13,6,4,13,13,0.03009980374594782,13908.369999999999
13,logarithmic,50,20,5,2,13,6,4,13,13,0.02973446411641311,13830.789999999999
14,logarithmic,50,20,1,2,13,6,5,2,2,0.10942760618190198,12132.050000000001
15,logarithmic,50,20,2,2,13,6,5,2,2,0.1102656390657565,12147.429999999998
16,logarithmic,50,20,3,2,13,6,5,2,2,0.1102656390657565,12147.429999999998
17,logarithmic,50,20,4,2,13,6,5,2,2,0.1245558742401156,12426.279999999997
18,logarithmic,50,20,5,2,13,6,5,2,2,0.1245558742401156,12426.279999999997
19,logarithmic,50,20,1,2,13,6,6,0,0,,10000.0
20,logarithmic,50,20,2,2,13,6,6,0,0,,10000.0
21,logarithmic,50,20,3,2,13,6,6,0,0,,10000.0
22,logarithmic,50,20,4,2,13,6,6,0,0,,10000.0
23,logarithmic,50,20,5,2,13,6,6,0,0,,10000.0
24,logarithmic,50,20,1,2,13,8,1,157,156,0.004734493473428674,17400.959999999995
25,logarithmic,50,20,2,2,13,8,1,157,156,0.004286243107222208,16168.599999999975
26,logarithmic,50,20,3,2,13,8,1,158,157,0.003876587750602866,15251.279999999992
27,logarithmic,50,20,4,2,13,8,1,158,157,0.005590719195419006,20221.64999999997
28,logarithmic,50,20,5,2,13,8,1,158,157,0.005410798008443693,19743.28999999999
29,logarithmic,50,20,1,2,13,8,2,114,113,0.00847940622391616,22223.62999999999
30,logarithmic,50,20,2,2,13,8,2,114,113,0.005671351033543433,16038.299999999992
31,logarithmic,50,20,3,2,13,8,2,114,113,0.0050828472126130085,15005.229999999992
32,logarithmic,50,20,4,2,13,8,2,114,113,0.006600953512942889,17967.179999999986
33,logarithmic,50,20,5,2,13,8,2,114,113,0.0061636831666261275,17099.00999999999
34,logarithmic,50,20,1,2,13,8,3,50,49,0.0026635184165306,9543.55
35,logarithmic,50,20,2,2,13,8,3,50,49,0.00040428639813980374,8400.839999999993
36,logarithmic,50,20,3,2,13,8,3,50,49,-0.0017255161910308993,7389.830000000002
37,logarithmic,50,20,4,2,13,8,3,50,49,0.002001057990050681,8955.780000000006
38,logarithmic,50,20,5,2,13,8,3,51,50,0.0006718001020306767,8450.359999999999
39,logarithmic,50,20,1,2,13,8,4,14,13,0.048677918003280314,16760.410000000003
40,logarithmic,50,20,2,2,13,8,4,14,13,0.04934160344524135,16920.6
41,logarithmic,50,20,3,2,13,8,4,14,13,0.04803438648916943,16619.03
42,logarithmic,50,20,4,2,13,8,4,14,13,0.049725076668282235,16977.83
43,logarithmic,50,20,5,2,13,8,4,14,13,0.05137457489977658,17338.269999999997
44,logarithmic,50,20,1,2,13,8,5,3,3,0.011024480061499843,10310.220000000001
45,logarithmic,50,20,2,2,13,8,5,3,3,0.011117351528634148,10311.980000000001
46,logarithmic,50,20,3,2,13,8,5,3,3,0.011117351528634148,10311.980000000001
47,logarithmic,50,20,4,2,13,8,5,3,3,-0.0013398001209022948,9924.070000000002
48,logarithmic,50,20,5,2,13,8,5,3,3,-0.0013398001209022948,9924.070000000002
49,logarithmic,50,20,1,2,13,8,6,0,0,,10000.0
50,logarithmic,50,20,2,2,13,8,6,0,0,,10000.0
51,logarithmic,50,20,3,2,13,8,6,0,0,,10000.0
52,logarithmic,50,20,4,2,13,8,6,0,0,,10000.0
53,logarithmic,50,20,5,2,13,8,6,0,0,,10000.0
54,logarithmic,50,20,1,2,13,10,1,141,140,0.005907998952239493,19123.09999999999
55,logarithmic,50,20,2,2,13,10,1,142,141,0.005226478791770333,17383.26000000001
56,logarithmic,50,20,3,2,13,10,1,144,143,0.004921149637814449,16764.770000000015
57,logarithmic,50,20,4,2,13,10,1,144,143,0.00695106014412635,22766.51999999999
58,logarithmic,50,20,5,2,13,10,1,144,143,0.006723776590855869,22089.3
59,logarithmic,50,20,1,2,13,10,2,99,98,0.006440765578315652,16252.680000000006
60,logarithmic,50,20,2,2,13,10,2,100,99,0.005362256506208475,14558.30000000001
61,logarithmic,50,20,3,2,13,10,2,101,100,0.0047762769437725795,13778.170000000015
62,logarithmic,50,20,4,2,13,10,2,101,100,0.005775287090565672,15475.71000000001
63,logarithmic,50,20,5,2,13,10,2,101,100,0.0052868309087919655,14726.93000000001
64,logarithmic,50,20,1,2,13,10,3,45,44,0.00079440207767938,8789.189999999995
65,logarithmic,50,20,2,2,13,10,3,44,43,-0.0003087844224207832,8233.410000000005
66,logarithmic,50,20,3,2,13,10,3,44,43,-0.0014763770497334188,7811.099999999995
67,logarithmic,50,20,4,2,13,10,3,44,43,0.0017813323832336306,9128.509999999998
68,logarithmic,50,20,5,2,13,10,3,45,44,0.0008638872107687886,8751.889999999994
69,logarithmic,50,20,1,2,13,10,4,16,15,0.008431932235874313,9980.569999999998
70,logarithmic,50,20,2,2,13,10,4,16,15,0.008501535262044975,10003.140000000001
71,logarithmic,50,20,3,2,13,10,4,16,15,0.006445560402762529,9736.93
72,logarithmic,50,20,4,2,13,10,4,16,15,0.01279256632731559,10743.930000000002
73,logarithmic,50,20,5,2,13,10,4,16,15,0.014107542940147634,10955.979999999998
74,logarithmic,50,20,1,2,13,10,5,4,4,0.0019389941920793276,10018.889999999998
75,logarithmic,50,20,2,2,13,10,5,4,4,0.0023042303656971193,10041.879999999997
76,logarithmic,50,20,3,2,13,10,5,4,4,-0.0019442247415366251,9863.209999999997
77,logarithmic,50,20,4,2,13,10,5,4,4,-0.0019376480521007787,9863.21
78,logarithmic,50,20,5,2,13,10,5,4,4,0.0029791946089340535,10070.439999999997
79,logarithmic,50,20,1,2,13,10,6,1,1,0.002090149036713829,10020.699999999999
80,logarithmic,50,20,2,2,13,10,6,1,1,-0.010723373318793228,9893.8
81,logarithmic,50,20,3,2,13,10,6,1,1,-0.0277171937477282,9725.5
82,logarithmic,50,20,4,2,13,10,6,1,1,-0.028807706288622333,9714.7
83,logarithmic,50,20,5,2,13,10,6,1,1,-0.028807706288622333,9714.7
84,logarithmic,50,20,1,2,13,12,1,128,127,0.006709409317640783,19449.689999999995
85,logarithmic,50,20,2,2,13,12,1,129,128,0.005955832585952997,17617.96
86,logarithmic,50,20,3,2,13,12,1,131,130,0.005735547735005099,17345.539999999994
87,logarithmic,50,20,4,2,13,12,1,131,130,0.007961145840890504,23395.550000000007
88,logarithmic,50,20,5,2,13,12,1,131,130,0.007711734624479849,22698.090000000004
89,logarithmic,50,20,1,2,13,12,2,99,98,0.0065870713549661735,16053.839999999991
90,logarithmic,50,20,2,2,13,12,2,100,99,0.005740679316080845,14685.970000000003
91,logarithmic,50,20,3,2,13,12,2,101,100,0.005083261303136655,13829.470000000003
92,logarithmic,50,20,4,2,13,12,2,101,100,0.005470838867878699,14623.060000000012
93,logarithmic,50,20,5,2,13,12,2,101,100,0.005185795655388269,14150.599999999995
94,logarithmic,50,20,1,2,13,12,3,45,44,-0.0011392865010499383,7947.399999999998
95,logarithmic,50,20,2,2,13,12,3,45,44,-0.0009419640242926166,8098.530000000004
96,logarithmic,50,20,3,2,13,12,3,45,44,-0.0026263722780887847,7389.049999999997
97,logarithmic,50,20,4,2,13,12,3,45,44,0.0011736070129114756,8817.150000000003
98,logarithmic,50,20,5,2,13,12,3,46,45,0.00018406114771593056,8495.279999999997
99,logarithmic,50,20,1,2,13,12,4,14,13,0.0378219502505365,13289.300000000001
100,logarithmic,50,20,2,2,13,12,4,14,13,0.03960664070334841,13615.740000000002
101,logarithmic,50,20,3,2,13,12,4,14,13,0.03796301874164224,13323.879999999997
102,logarithmic,50,20,4,2,13,12,4,14,13,0.04515133818917347,14678.18
103,logarithmic,50,20,5,2,13,12,4,14,13,0.042540325223937074,14189.770000000006
104,logarithmic,50,20,1,2,13,12,5,1,1,-0.02519408965689958,9748.5
105,logarithmic,50,20,2,2,13,12,5,1,1,-0.02519408965689958,9748.5
106,logarithmic,50,20,3,2,13,12,5,1,1,-0.03270723766591536,9673.5
107,logarithmic,50,20,4,2,13,12,5,1,1,-0.007713498622589491,9923.0
108,logarithmic,50,20,5,2,13,12,5,1,1,-0.007713498622589491,9923.0
109,logarithmic,50,20,1,2,13,12,6,0,0,,10000.0
110,logarithmic,50,20,2,2,13,12,6,0,0,,10000.0
111,logarithmic,50,20,3,2,13,12,6,0,0,,10000.0
112,logarithmic,50,20,4,2,13,12,6,0,0,,10000.0
113,logarithmic,50,20,5,2,13,12,6,0,0,,10000.0
114,logarithmic,50,20,1,2,13,14,1,118,117,0.006373404641530723,17479.579999999998
115,logarithmic,50,20,2,2,13,14,1,119,118,0.005312520290640445,15369.720000000008
116,logarithmic,50,20,3,2,13,14,1,121,120,0.005227917219291766,15257.390000000007
117,logarithmic,50,20,4,2,13,14,1,121,120,0.007526890129478498,20473.799999999992
118,logarithmic,50,20,5,2,13,14,1,121,120,0.007287016288315726,19868.860000000004
119,logarithmic,50,20,1,2,13,14,2,89,88,0.005332622105065368,13277.98
120,logarithmic,50,20,2,2,13,14,2,90,89,0.004273903114106859,11986.250000000002
121,logarithmic,50,20,3,2,13,14,2,91,90,0.003927935635692678,11716.940000000006
122,logarithmic,50,20,4,2,13,14,2,91,90,0.005108408653710773,13232.030000000008
123,logarithmic,50,20,5,2,13,14,2,91,90,0.004792904983388342,12911.140000000012
124,logarithmic,50,20,1,2,13,14,3,42,41,-0.0022069820714038365,7747.679999999998
0,logarithmic,50,20,2,2,13,14,3,42,41,-0.001051268882370358,8165.550000000003
1,logarithmic,50,20,3,2,13,14,3,42,41,-0.002265734791682442,7806.38
2,logarithmic,50,20,4,2,13,14,3,41,40,-0.0016206422982220955,8068.730000000003
3,logarithmic,50,20,5,2,13,14,3,41,40,-0.002644694723071676,7761.14
4,logarithmic,50,20,1,2,13,14,4,14,14,0.04896109084211533,17425.56
