numSell,exposure,drawdown,winLoss,value,delay,fast,slow,sig
98,0.5226550079491256,-0.2843534074177637,3.0833333333333335,16173.232066999992,1,2,5,7
65,0.47217806041335453,-0.2835130172499328,2.611111111111111,12035.399902999992,2,2,5,7
93,0.5178855325914149,-0.28350005600548744,2.1,15697.533286000007,1,4,5,7
57,0.48052464228934816,-0.289293971309283,2.0,13821.577278000004,2,4,5,7
88,0.9217011128775835,-0.217846103392129,1.2564102564102564,18925.771396999997,1,6,5,7
63,0.9399841017488076,-0.28226524842597384,1.25,16972.700263000006,2,6,5,7
81,0.5325914149443561,-0.284355464347347,3.263157894736842,13961.943985000002,1,2,9,7
68,0.4813195548489666,-0.28399860768844426,3.857142857142857,14129.66430999998,2,2,9,7
81,0.5258346581875993,-0.28398332025097406,2.857142857142857,13883.124894000002,1,4,9,7
77,0.5206677265500795,-0.2830596593486284,2.6666666666666665,12451.94352100001,2,4,9,7
82,0.5357710651828299,-0.28964448003087134,2.4166666666666665,11934.16917099998,1,6,9,7
75,0.5274244833068362,-0.270911576918944,2.409090909090909,13064.90407900001,2,6,9,7
88,0.5174880763116058,-0.2863024067549622,3.4,17194.020231999988,1,2,5,9
62,0.45588235294117646,-0.28378282085077694,4.636363636363637,15225.944466999987,2,2,5,9
83,0.4841017488076312,-0.28342466333920624,2.608695652173913,16342.314383,1,4,5,9
51,0.45310015898251194,-0.2948420762616435,3.6363636363636362,14771.387853999997,2,4,5,9
76,0.9252782193958664,-0.1968827278896564,1.2352941176470589,18304.490740999994,1,6,5,9
51,0.9479332273449921,-0.16922750348738494,1.4285714285714286,23384.599555000004,2,6,5,9
66,0.49324324324324326,-0.2882911242323112,3.7142857142857144,13755.399964999999,1,2,9,9
53,0.45349761526232113,-0.292111888041221,3.8181818181818183,14949.835461999995,2,2,9,9
67,0.5079491255961844,-0.28313036173710315,2.35,15111.544505999986,1,4,9,9
63,0.503577106518283,-0.28500300356908564,3.2,14107.723694999993,2,4,9,9
66,0.4972178060413355,-0.28370143751913196,2.473684210526316,13557.829104999995,1,6,9,9
57,0.4781399046104928,-0.26651464676982944,2.3529411764705883,14256.559227000009,2,6,9,9
79,0.49523052464228934,-0.2845820108825702,2.95,16626.42551,1,2,5,11
53,0.45866454689984104,-0.28723580212182726,4.888888888888889,14225.310289,2,2,5,11
75,0.4980127186009539,-0.2873495060837669,2.9473684210526314,17451.50017500003,1,4,5,11
51,0.4542925278219396,-0.28722312423505286,4.666666666666667,15300.748372999995,2,4,5,11
71,0.9193163751987281,-0.26801006979305997,1.3666666666666667,14494.790049000003,1,6,5,11
47,0.9781399046104928,-0.24192023929763934,1.35,16629.90557000001,2,6,5,11
59,0.48171701112877585,-0.29538400150409766,3.2142857142857144,15319.876948999998,1,2,9,11
49,0.4709856915739269,-0.27949625396680516,3.4545454545454546,15360.539994999994,2,2,9,11
61,0.4908585055643879,-0.28398099208579897,3.357142857142857,17516.04904499998,1,4,9,11
53,0.46621621621621623,-0.27324256270543384,2.7857142857142856,15067.664759000005,2,4,9,11
65,0.4968203497615262,-0.29726935669818916,2.823529411764706,16270.209028999994,1,6,9,11
51,0.4741653418124006,-0.2744412247739897,2.0,13096.930326999998,2,6,9,11
67,0.47297297297297297,-0.2846374527520774,2.9411764705882355,17528.891927,1,2,5,13
52,0.4523052464228935,-0.28242047245893515,4.2,16019.49050600001,2,2,5,13
65,0.4809220985691574,-0.2859006997370595,3.3333333333333335,18194.319258000007,1,4,5,13
46,0.4364069952305246,-0.28411569215079396,4.75,17320.348491000004,2,4,5,13
60,0.9558823529411765,-0.19523874470297226,1.2222222222222223,17247.940169999994,1,6,5,13
46,0.9829093799682035,-0.24723856106843287,1.0,14992.420637000012,2,6,5,13
56,0.49483306836248014,-0.31072987545950265,3.0,16887.381722000006,1,2,9,13
46,0.43879173290937995,-0.2802927795957795,5.571428571428571,19489.35896299999,2,2,9,13
55,0.48926868044515104,-0.2845317072080364,2.9285714285714284,15561.22802500001,1,4,9,13
48,0.47217806041335453,-0.27222907632835674,2.4285714285714284,14239.283459000002,2,4,9,13
51,0.4844992050874404,-0.28594976678931805,2.923076923076923,14965.183430999992,1,6,9,13
43,0.45548489666136727,-0.2636529418476451,2.3076923076923075,13981.650714999994,2,6,9,13
