,fast,slow,sig,delay,numSell,exposure,drawdown,winLoss,value,zzz
48,9,12,3,3,11,0.571129707,-0.08408547,10,13232.29,9-12-3-3
6,11,12,11,1,14,0.543933054,-0.08584947,6,13222.37,11-12-11-1
27,3,4,5,4,1,0.384937238,-0.061495594,inf,13205.82,3-4-5-4
48,13,14,11,1,12,0.585774059,-0.08408547,3,13199.38,13-14-11-1
52,11,19,3,3,9,0.372384937,-0.028163848,inf,13184.2,11-19-3-3
61,9,19,9,2,12,0.577405858,-0.08584947,5,13175.11,9-19-9-2
47,9,17,11,4,8,0.523012552,-0.052296024,inf,13173.78,9-17-11-4
62,9,19,9,3,11,0.489539749,-0.052058934,10,13172.16,9-19-9-3
40,13,14,7,1,14,0.571129707,-0.08408547,6,13171.15,13-14-7-1
23,9,15,9,4,9,0.564853556,-0.052238343,8,13170.16,9-15-9-4
44,9,17,11,1,12,0.552301255,-0.08408547,11,13160.37,9-17-11-1
40,9,10,9,3,9,0.552301255,-0.052303184,inf,13159.95,9-10-9-3
43,13,14,7,4,4,0.349372385,-0.061265381,inf,13145.91,13-14-7-4
3,11,12,9,2,13,0.554393305,-0.08584947,5.5,13137.46,11-12-9-2
45,9,17,11,2,12,0.566945607,-0.08584947,5,13136.77,9-17-11-2
40,9,17,9,1,13,0.543933054,-0.08408547,5.5,13124.36,9-17-9-1
6,9,14,11,3,11,0.581589958,-0.07666548,4.5,13124.3,9-14-11-3
34,13,25,3,1,11,0.541841004,-0.08850666,10,13119.8,13-25-3-1
70,7,8,7,1,18,0.525104603,-0.08850666,8,13109.47,7-8-7-1
16,11,23,5,1,12,0.577405858,-0.08850666,11,13106.22,11-23-5-1
13,11,23,3,2,11,0.577405858,-0.08850666,2.666666667,13105.875,11-23-3-2
63,9,12,11,2,13,0.585774059,-0.08584947,5.5,13102.43,9-12-11-2
17,9,15,7,2,13,0.571129707,-0.08584947,5.5,13100.04,9-15-7-2
36,13,25,3,3,8,0.60460251,-0.08850666,7,13090.96,13-25-3-3
73,9,14,5,4,5,0.550209205,-0.041532915,inf,13089.45,9-14-5-4
1,11,21,7,2,13,0.585774059,-0.08408547,5.5,13082.43,11-21-7-2
62,11,19,9,1,12,0.587866109,-0.08850666,5,13079.68,11-19-9-1
18,9,15,7,3,11,0.523012552,-0.052118863,inf,13079.18,9-15-7-3
15,11,14,5,2,14,0.59832636,-0.08408547,6,13069.04,11-14-5-2
71,11,21,3,2,11,0.514644351,-0.08850666,4.5,13062.67,11-21-3-2
23,7,15,11,2,13,0.523012552,-0.08408547,12,13060.93,7-15-11-2
66,9,19,11,3,10,0.527196653,-0.052148419,9,13057.405,9-19-11-3
77,13,20,5,2,12,0.60460251,-0.08850666,5,13053.66,13-20-5-2
56,9,12,7,3,12,0.648535565,-0.08584947,11,13049.265,9-12-7-3
54,13,17,3,3,9,0.577405858,-0.058181104,inf,13041.44,13-17-3-3
30,11,16,3,1,15,0.562761506,-0.08850666,6.5,13027.91,11-16-3-1
44,9,10,11,3,10,0.541841004,-0.05210434,inf,13024.56,9-10-11-3
1,11,12,7,4,6,0.512552301,-0.088344264,5,13020.87,11-12-7-4
60,11,19,7,3,10,0.617154812,-0.08584947,9,13019.89,11-19-7-3
18,11,14,7,1,14,0.558577406,-0.08408547,6,13019.35,11-14-7-1
57,9,19,7,2,12,0.541841004,-0.08408547,5,13015.52,9-19-7-2
29,9,17,3,2,15,0.520920502,-0.08408547,6.5,13014.59,9-17-3-2
14,13,22,3,1,12,0.575313808,-0.08850666,11,13006.46,13-22-3-1
22,7,15,11,1,13,0.523012552,-0.08850666,12,12997.38,7-15-11-1
22,5,8,3,1,26,0.479079498,-0.037248779,3.333333333,12991.21,5-8-3-1
61,13,17,7,2,13,0.606694561,-0.08850666,5.5,12988.41,13-17-7-2
10,9,15,3,3,9,0.4958159,-0.05032312,inf,12980.65,9-15-3-3
0,11,12,7,3,11,0.535564854,-0.07666548,4.5,12973.69,11-12-7-3
2,7,13,11,1,14,0.543933054,-0.08850666,13,12971.79,7-13-11-1
7,9,14,11,4,8,0.552301255,-0.056221966,inf,12958.16,9-14-11-4
37,9,17,7,2,13,0.552301255,-0.08584947,5.5,12943.69,9-17-7-2
36,13,14,5,1,15,0.560669456,-0.08408547,6.5,12940.99,13-14-5-1
50,13,14,11,3,12,0.566945607,-0.056637535,3,12939.86,13-14-11-3
60,9,19,9,1,13,0.550209205,-0.08408547,5.5,12935.26,9-19-9-1
9,13,20,9,4,8,0.682008368,-0.08850666,7,12928.89,13-20-9-4
62,9,12,11,1,14,0.564853556,-0.08408547,6,12926.35,9-12-11-1
71,13,17,11,4,7,0.548117155,-0.052300308,inf,12923.46,13-17-11-4
63,11,19,9,2,11,0.612970711,-0.08408547,4.5,12922.355,11-19-9-2
18,7,15,9,1,14,0.539748954,-0.08850666,6,12917,7-15-9-1
76,11,21,5,3,9,0.558577406,-0.08408547,8,12915.4,11-21-5-3
35,9,10,7,2,14,0.60041841,-0.08408547,6,12911.45,9-10-7-2
70,11,12,3,3,4,0.543933054,-0.052084645,inf,12903.5,11-12-3-3
53,9,19,5,2,13,0.556485356,-0.08408547,5.5,12902.28,9-19-5-2
29,13,22,9,4,9,0.629707113,-0.08850666,8,12898.32,13-22-9-4
65,11,19,9,4,9,0.59623431,-0.056338459,8,12893.28,11-19-9-4
25,11,14,9,4,9,0.610878661,-0.059151185,8,12891.17,11-14-9-4
